timestamps,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT
1533222560,774.0293,812.3077,807.0696,804.65204,769.59705
1533222560,726.8865,805.05493,798.20514,759.92676,631.79486
1533222560,772.8205,811.9048,799.011,769.19415,572.1612
1533222560,852.1978,812.71063,801.8315,814.3223,696.6667
1533222560,875.16486,815.5311,801.8315,843.73627,820.7692
1533222560,800.2198,812.3077,804.2491,812.3077,906.99634
1533222560,741.39197,813.5165,803.44324,762.74725,926.337
1533222560,780.4762,823.9927,802.6374,763.5531,683.36993
1533222560,855.42126,820.7692,802.6374,811.0989,702.71063
1533222560,880,818.7546,803.44324,849.7802,977.50916
1533222560,806.26373,817.9487,803.44324,821.978,938.4249
1533222560,736.1539,808.2784,798.60803,774.43225,616.08057
1533222560,754.68866,802.6374,796.5934,772.01465,571.75824
1533222560,841.31866,805.05493,798.60803,815.12823,827.619
1533222560,887.25275,818.3516,803.0403,850.58606,975.09155
1533222560,819.15753,820.3663,802.23444,819.9634,817.5458
1533222560,738.97437,811.50183,798.20514,767.98535,637.4359
1533222560,745.42126,807.47253,796.99634,759.5238,688.20514
1533222560,828.8278,808.2784,792.5641,792.1612,828.4249
1533222560,880.80585,809.4872,790.9524,834.87177,864.68866
1533222560,825.6044,801.4286,791.75824,825.2015,831.2454
1533222560,750.65936,796.1905,790.54944,777.25275,843.73627
1533222560,743.00366,805.8608,796.1905,761.9414,661.6117
1533222560,809.0842,807.47253,798.20514,796.1905,627.3626
1533222560,875.16486,808.2784,803.44324,848.5714,861.8681
1533222560,836.08057,806.6667,809.4872,848.1685,910.6227
1533222560,756.7033,804.2491,811.0989,798.60803,689.41394
1533222560,741.79486,803.8461,815.5311,776.4469,593.1135
1533222560,799.41394,805.05493,815.9341,803.44324,709.15753
1533222560,867.1062,805.8608,816.7399,850.989,936.4103
1533222560,840.9158,798.60803,820.3663,854.21246,987.1795
1533222560,761.9414,797.3993,820.7692,806.26373,734.5421
1533222560,737.76556,798.60803,819.15753,780.4762,645.09155
1533222560,792.1612,803.44324,814.3223,797.3993,867.50916
1533222560,862.27106,811.0989,810.696,832.0513,877.5824
1533222560,852.1978,812.3077,807.0696,840.5128,886.4469
1533222560,769.19415,807.0696,803.0403,791.75824,862.674
1533222560,730.9158,801.4286,798.60803,747.03296,684.57874
1533222560,783.69965,799.011,796.1905,764.7619,637.03296
1533222560,859.85345,799.011,796.1905,821.5751,816.7399
1533222560,852.1978,802.6374,794.9817,840.5128,897.72894
1533222560,766.3736,792.1612,794.9817,790.9524,820.3663
1533222560,720.0366,794.57874,790.9524,752.674,681.3553
1533222560,757.9121,814.7253,791.3553,763.5531,691.4286
1533222560,834.4689,809.89014,794.17584,808.2784,894.90845
1533222560,849.3773,796.5934,793.36993,837.28937,894.10254
1533222560,778.86444,797.3993,789.7436,802.6374,737.3626
1533222560,728.9011,801.02563,789.34064,766.3736,631.79486
1533222560,761.9414,805.4579,786.52014,776.04395,697.47253
1533222560,848.97437,807.8755,784.10254,822.7839,840.9158
1533222560,880.80585,803.44324,786.1172,861.8681,944.4689
1533222560,805.4579,798.20514,787.72894,832.4542,892.49084
1533222560,745.82416,799.41394,788.1319,788.93774,952.1245
1533222560,781.685,806.26373,786.1172,792.1612,880.40295
1533222560,871.13556,809.4872,792.1612,839.304,781.685
1533222560,914.65204,806.26373,798.60803,878.7912,973.8828
1533222560,856.63007,802.6374,796.5934,855.0183,1092.7472
1533222560,792.5641,807.8755,795.38464,811.50183,791.75824
1533222560,806.26373,811.50183,792.1612,807.8755,557.25275
1533222560,884.43225,812.3077,795.38464,854.21246,715.6044
1533222560,934.3956,817.9487,803.44324,901.75824,896.9231
1533222560,884.43225,823.5897,800.6227,876.77655,796.99634
1533222560,806.6667,811.0989,798.20514,823.9927,641.4652
1533222560,808.2784,803.8461,800.6227,823.1868,627.76556
1533222560,882.8205,813.5165,800.6227,865.09155,706.337
1533222560,942.0513,806.6667,800.2198,909.41394,851.39197
1533222560,903.7729,802.23444,799.81683,903.36993,915.4579
1533222560,823.9927,805.4579,803.8461,855.0183,925.5311
1533222560,805.4579,804.65204,807.0696,825.2015,719.2308
1533222560,863.8828,800.2198,809.4872,848.97437,593.91943
1533222560,937.2161,807.0696,810.696,898.93774,867.50916
1533222560,919.4872,820.3663,811.0989,904.17584,960.58606
1533222560,834.87177,813.91943,812.71063,859.85345,790.14655
1533222560,805.8608,808.68134,811.50183,836.4835,589.89014
1533222560,864.2857,809.89014,816.337,867.9121,637.8388
1533222560,939.6337,809.0842,815.12823,917.47253,902.96704
1533222560,915.05493,810.696,813.1135,920.696,931.5751
1533222560,821.978,803.44324,810.696,872.3443,790.14655
1533222560,791.75824,801.4286,805.05493,840.5128,754.68866
1533222560,850.58606,804.65204,804.65204,866.7033,958.1685
1533222560,930.3663,807.0696,801.02563,910.6227,970.65936
1533222560,930.3663,813.5165,799.011,915.4579,875.56775
1533222560,845.7509,811.50183,796.99634,868.71796,807.47253
1533222560,801.02563,808.2784,799.81683,836.8865,643.8828
1533222560,840.5128,811.0989,803.0403,848.5714,610.4396
1533222560,924.7253,807.8755,800.6227,887.6557,825.6044
1533222560,922.3077,796.99634,799.011,902.5641,1023.0403
1533222560,846.1539,799.41394,798.20514,858.6447,898.5348
1533222560,799.011,798.20514,792.5641,811.50183,653.1502
1533222560,819.15753,793.36993,792.96704,815.12823,739.7802
1533222560,900.14655,799.41394,796.5934,867.1062,962.1978
1533222560,930.3663,807.8755,798.20514,902.5641,932.7839
1533222560,865.89746,809.4872,801.4286,869.12085,745.42126
1533222560,798.20514,797.8022,801.02563,827.619,576.99634
1533222560,812.3077,790.14655,800.2198,841.31866,765.56775
1533222560,884.43225,799.41394,801.02563,877.5824,956.9597
1533222560,931.5751,805.8608,809.0842,910.2198,878.7912
1533222560,865.4945,805.05493,816.7399,890.87915,815.12823
1533222560,780.07324,803.8461,813.5165,838.0952,661.2088
1533222560,792.96704,803.0403,810.293,825.6044,532.674
1533222560,867.50916,800.6227,809.0842,857.4359,619.707
1533222560,914.65204,799.011,809.89014,894.90845,870.32965
1533222560,867.9121,799.81683,812.71063,878.3883,955.34796
1533222560,789.7436,800.2198,815.12823,830.0366,792.96704
1533222560,784.5055,801.8315,813.5165,814.7253,599.9634
1533222560,859.0476,801.8315,815.12823,849.7802,754.68866
1533222560,912.23444,802.23444,815.9341,891.685,1105.641
1533222560,868.315,809.0842,811.50183,868.315,929.9634
1533222560,784.90845,805.4579,808.68134,803.8461,674.5055
1533222560,766.3736,799.011,809.0842,780.87915,639.0476
1533222560,826.4103,803.0403,809.4872,801.02563,702.3077
1533222560,887.25275,804.2491,810.696,840.10986,853.4066
1533222560,863.0769,804.2491,818.3516,848.5714,920.696
1533222560,778.86444,800.2198,820.3663,802.23444,883.6264
1533222560,745.82416,794.57874,819.9634,770.40295,743.00366
1533222560,801.02563,795.38464,821.978,790.14655,647.1062
1533222560,880,793.7729,820.3663,836.08057,806.26373
1533222560,867.1062,786.9231,821.1722,853.4066,1175.751
1533222560,769.59705,786.52014,816.337,799.81683,961.79486
1533222560,727.6923,789.34064,809.89014,765.16486,549.59705
1533222560,781.28204,783.69965,807.47253,790.9524,588.2784
1533222560,859.0476,782.0879,811.9048,833.663,796.1905
1533222560,859.45056,785.31134,813.1135,846.55676,882.8205
1533222560,783.69965,780.4762,808.2784,807.8755,750.2564
1533222560,737.76556,775.64105,805.4579,771.6117,622.1245
1533222560,772.8205,774.0293,799.81683,780.87915,709.15753
1533222560,861.06226,777.25275,798.60803,830.4396,909.011
1533222560,875.9707,783.69965,801.8315,857.8388,915.05493
1533222560,796.5934,780.87915,799.011,817.5458,876.77655
1533222560,736.1539,778.46155,792.96704,771.2088,866.30035
1533222560,764.7619,784.10254,790.9524,772.8205,606.4103
1533222560,838.9011,783.69965,790.9524,815.12823,701.50183
1533222560,865.4945,781.685,790.54944,849.3773,1067.7656
1533222560,797.8022,781.28204,788.5348,817.1429,928.3516
1533222560,738.97437,782.8938,788.1319,770.40295,570.14655
1533222560,760.32965,781.685,789.34064,773.22345,519.3773
1533222560,835.2747,783.2967,789.34064,817.9487,708.3516
1533222560,887.25275,796.99634,798.20514,865.09155,977.50916
1533222560,822.381,794.17584,798.20514,832.0513,959.7802
1533222560,741.39197,785.31134,793.36993,773.6264,720.4396
1533222560,747.8388,782.8938,796.99634,777.6557,773.6264
1533222560,822.7839,784.90845,796.5934,814.3223,847.3626
1533222560,878.7912,791.3553,794.9817,842.9304,917.8755
1533222560,830.0366,789.7436,795.78754,825.2015,898.5348
1533222560,753.8828,790.14655,791.75824,776.04395,710.7692
1533222560,745.0183,790.9524,792.96704,760.7326,603.5897
1533222560,803.8461,788.1319,796.5934,793.7729,717.619
1533222560,870.32965,790.14655,796.99634,838.9011,1032.7106
1533222560,837.6923,797.8022,799.011,830.4396,1035.9341
1533222560,747.03296,798.60803,797.3993,779.67035,831.6484
1533222560,734.5421,797.8022,798.60803,758.71796,648.71796
1533222560,807.47253,793.7729,800.6227,789.7436,754.68866
1533222560,880.80585,793.7729,803.44324,838.9011,1109.6703
1533222560,856.2271,800.2198,808.68134,837.6923,943.663
1533222560,772.4176,796.1905,807.47253,792.96704,678.1319
1533222560,737.76556,792.96704,806.26373,772.8205,611.6484
1533222560,785.31134,789.7436,808.68134,797.3993,627.3626
1533222560,864.2857,788.93774,812.3077,846.55676,788.5348
1533222560,849.3773,790.54944,809.89014,853.00366,885.2381
1533222560,759.92676,788.1319,805.05493,798.60803,787.326
1533222560,724.87177,787.72894,803.8461,759.5238,591.9048
1533222560,772.01465,788.93774,805.4579,770,598.3516
1533222560,845.34796,788.5348,804.2491,816.7399,915.8608
1533222560,851.79486,789.34064,801.4286,833.2601,1133.0403
1533222560,774.83514,790.54944,803.0403,790.14655,854.21246
1533222560,728.9011,788.1319,802.6374,753.47986,549.59705
1533222560,765.56775,780.4762,795.38464,765.16486,558.0586
1533222560,840.10986,780.07324,796.1905,819.9634,1010.54944
