timestamps,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT
1533222560,759.92676,774.43225,799.81683,771.2088,652.74725
1533222560,776.4469,778.86444,798.20514,842.9304,811.0989
1533222560,827.619,804.2491,801.4286,836.08057,865.89746
1533222560,816.337,807.47253,800.2198,757.9121,832.4542
1533222560,775.64105,794.57874,797.8022,716.4103,767.98535
1533222560,744.21246,774.0293,797.3993,755.89746,876.77655
1533222560,761.9414,782.49084,797.3993,836.4835,955.34796
1533222560,820.7692,813.5165,801.02563,842.9304,893.2967
1533222560,823.1868,803.44324,801.8315,768.3883,856.63007
1533222560,785.31134,783.2967,795.78754,724.4689,885.64105
1533222560,753.47986,792.1612,795.38464,751.06226,684.9817
1533222560,766.77655,791.3553,795.38464,833.2601,709.15753
1533222560,831.6484,804.2491,790.14655,863.8828,882.01465
1533222560,845.34796,824.7985,796.99634,794.17584,785.7143
1533222560,804.2491,817.9487,796.99634,733.73627,650.7326
1533222560,771.2088,790.9524,792.96704,760.7326,663.22345
1533222560,779.2674,782.0879,799.81683,844.94507,829.2308
1533222560,832.8571,808.2784,803.0403,867.1062,928.3516
1533222560,846.9597,823.5897,803.0403,804.2491,871.9414
1533222560,817.5458,813.5165,805.8608,753.8828,749.85345
1533222560,781.28204,782.49084,806.6667,773.6264,854.21246
1533222560,773.6264,782.8938,807.8755,845.7509,962.1978
1533222560,831.2454,825.6044,811.9048,887.6557,852.6007
1533222560,854.21246,833.663,812.3077,830.0366,751.06226
1533222560,825.2015,820.7692,806.26373,755.4945,630.989
1533222560,790.14655,810.293,806.26373,763.5531,595.9341
1533222560,770.40295,799.011,808.2784,836.4835,749.45056
1533222560,819.9634,807.8755,808.68134,892.8938,882.01465
1533222560,850.18317,825.6044,810.696,843.3333,855.0183
1533222560,820.7692,819.15753,816.7399,765.9707,788.5348
1533222560,785.31134,804.65204,820.3663,759.12085,765.9707
1533222560,767.1795,782.8938,819.15753,821.978,869.12085
1533222560,806.6667,786.1172,815.12823,892.0879,1143.1135
1533222560,852.6007,834.87177,815.12823,850.58606,975.09155
1533222560,836.08057,839.304,813.5165,758.71796,697.0696
1533222560,790.9524,796.5934,807.47253,745.0183,732.9304
1533222560,763.1502,778.46155,806.6667,804.65204,803.44324
1533222560,797.3993,799.41394,810.293,871.13556,825.6044
1533222560,838.0952,819.5604,809.89014,846.9597,837.6923
1533222560,819.9634,810.293,804.2491,765.16486,805.8608
1533222560,783.2967,797.3993,801.4286,732.9304,699.0842
1533222560,749.45056,777.6557,800.6227,782.0879,721.6484
1533222560,777.25275,777.25275,794.9817,858.24176,926.337
1533222560,836.8865,791.75824,804.2491,858.24176,1080.6593
1533222560,836.8865,815.5311,810.696,779.67035,905.78754
1533222560,790.54944,816.7399,806.26373,737.3626,687.8022
1533222560,755.89746,781.685,806.26373,784.5055,707.5458
1533222560,785.31134,780.4762,805.05493,869.12085,926.337
1533222560,838.9011,818.7546,804.2491,861.8681,907.8022
1533222560,838.9011,834.0659,799.41394,768.3883,682.5641
1533222560,806.26373,815.9341,798.20514,725.6777,651.9414
1533222560,768.3883,790.9524,799.81683,760.32965,756.7033
1533222560,778.46155,791.3553,799.81683,834.87177,821.5751
1533222560,841.31866,816.337,801.4286,858.24176,898.1319
1533222560,849.7802,817.9487,801.8315,794.17584,982.74725
1533222560,811.9048,796.1905,799.81683,745.0183,960.58606
1533222560,776.04395,802.23444,796.5934,763.1502,734.94507
1533222560,787.72894,799.011,797.8022,844.5421,755.89746
1533222560,842.52747,809.0842,799.81683,873.95605,895.7143
1533222560,856.63007,834.0659,799.011,803.44324,778.86444
1533222560,827.2161,833.2601,799.011,747.8388,644.68866
1533222560,789.34064,809.0842,799.011,758.315,670.4762
1533222560,788.93774,785.7143,800.6227,834.87177,841.7216
1533222560,836.4835,809.4872,804.65204,878.3883,883.22345
1533222560,854.61536,834.0659,807.0696,824.7985,773.6264
1533222560,831.2454,821.1722,810.293,765.16486,743.4066
1533222560,794.17584,778.46155,811.9048,772.01465,931.5751
1533222560,775.2381,765.9707,808.2784,833.663,1097.5824
1533222560,816.337,817.1429,811.50183,880,911.02563
