timestamp,TP9,AF7,AF8,TP10,Right AUX
1533058200,933.1868,819.9634,801.02563,925.12823,766.77655
1533058200,952.9304,840.5128,806.6667,953.3333,785.31134
1533058200,809.0842,813.91943,807.8755,824.3956,795.38464
1533058200,653.5531,757.1062,804.65204,672.0879,850.58606
1533058200,692.23444,755.89746,794.17584,694.65204,774.0293
1533058200,890.07324,808.2784,794.9817,882.4176,763.1502
1533058200,936.4103,827.2161,807.8755,931.978,834.87177
1533058200,818.3516,802.23444,810.696,828.4249,851.79486
1533058200,662.8205,788.93774,805.05493,675.31134,721.2454
1533058200,675.7143,793.7729,799.011,671.685,594.7253
1533058200,873.1502,815.12823,799.41394,859.45056,725.2747
1533058200,937.2161,798.20514,802.6374,937.619,1072.6007
1533058200,830.84247,796.5934,802.6374,840.5128,1084.6886
1533058200,681.75824,803.0403,799.81683,688.20514,697.8755
1533058200,668.86444,784.5055,799.81683,671.685,595.5311
1533058200,855.82416,802.6374,802.6374,851.79486,833.2601
1533058200,944.0659,823.5897,803.8461,940.84247,952.9304
1533058200,850.18317,823.5897,805.05493,861.4652,832.4542
1533058200,690.2198,781.28204,803.44324,720.0366,813.5165
1533058200,640.65936,732.52747,798.20514,665.64105,962.6007
1533058200,819.9634,794.9817,800.6227,823.1868,867.1062
1533058200,945.6777,845.7509,804.65204,942.0513,786.1172
1533058200,880,817.5458,805.8608,891.685,806.26373
1533058200,730.5128,798.60803,808.2784,753.47986,707.9487
1533058200,655.56775,790.54944,806.26373,666.8498,600.7692
1533058200,820.7692,809.89014,805.8608,812.71063,719.2308
1533058200,963.4066,825.2015,807.8755,956.55676,917.8755
1533058200,895.31134,816.7399,811.50183,905.38464,965.0183
1533058200,752.27106,799.41394,808.68134,772.8205,909.011
1533058200,655.56775,778.0586,801.02563,665.2381,712.7839
1533058200,788.1319,781.28204,800.6227,779.2674,751.8681
1533058200,950.5128,826.4103,803.0403,937.2161,808.2784
1533058200,915.4579,836.08057,806.26373,912.6374,748.24176
1533058200,770.40295,792.1612,802.23444,781.28204,776.04395
1533058200,645.89746,760.7326,799.011,657.5824,730.10986
1533058200,755.4945,792.1612,806.6667,749.0476,660
1533058200,939.6337,833.2601,808.68134,928.3516,767.98535
1533058200,925.9341,821.978,809.4872,927.1429,804.65204
1533058200,787.326,765.56775,812.71063,809.89014,1017.8022
1533058200,654.35895,743.00366,808.2784,677.326,1173.3334
1533058200,735.7509,794.57874,802.6374,729.304,829.6337
1533058200,926.7399,828.022,803.0403,914.65204,779.2674
1533058200,932.7839,824.7985,803.8461,936.4103,970.65936
1533058200,797.3993,825.2015,799.41394,805.05493,808.68134
1533058200,651.53845,797.8022,797.3993,655.56775,616.08057
1533058200,703.5165,781.685,795.78754,690.6227,605.2015
1533058200,903.36993,815.9341,801.4286,882.4176,724.0659
1533058200,944.4689,833.663,797.8022,930.7692,790.14655
1533058200,819.9634,803.0403,795.38464,822.7839,812.71063
1533058200,669.67035,763.1502,801.02563,676.52014,800.6227
1533058200,694.65204,772.4176,799.011,678.1319,695.8608
1533058200,891.685,808.2784,794.9817,868.315,792.96704
1533058200,956.9597,821.1722,795.38464,945.2747,934.3956
1533058200,842.9304,794.57874,799.011,851.79486,1018.60803
1533058200,687.8022,780.4762,796.99634,700.293,882.4176
1533058200,685.78754,796.5934,790.14655,668.86444,573.7729
1533058200,873.95605,814.7253,792.1612,844.94507,660.80585
1533058200,956.9597,821.978,794.17584,939.2308,828.4249
1533058200,861.06226,816.7399,791.3553,859.0476,732.52747
1533058200,703.91943,794.57874,791.3553,706.7399,610.4396
1533058200,660.80585,772.01465,791.3553,647.50916,656.3736
1533058200,836.8865,797.3993,788.1319,812.71063,780.07324
1533058200,954.5421,825.6044,784.10254,930.3663,837.6923
1533058200,883.6264,814.7253,794.9817,877.1795,901.3553
1533058200,725.2747,784.5055,803.0403,736.55676,892.49084
1533058200,655.56775,763.1502,798.60803,655.16486,746.2271
1533058200,822.381,801.02563,801.8315,807.47253,680.54944
1533058200,952.1245,834.0659,801.8315,942.8571,789.7436
1533058200,890.4762,819.5604,799.81683,896.52014,884.0293
1533058200,743.00366,797.3993,800.6227,758.71796,814.3223
1533058200,646.30035,779.67035,798.60803,657.5824,655.56775
1533058200,787.326,799.81683,801.8315,782.0879,645.4945
1533058200,949.707,807.8755,805.8608,944.87177,888.0586
1533058200,915.05493,788.1319,804.2491,927.9487,1137.0696
1533058200,769.19415,805.05493,801.8315,789.7436,877.98535
1533058200,658.3883,790.9524,805.4579,672.8938,733.73627
1533058200,772.4176,774.83514,807.47253,778.46155,967.4359
1533058200,951.31866,818.3516,806.26373,948.0952,1030.2931
1533058200,936.4103,841.7216,800.6227,931.978,899.7436
1533058200,790.54944,812.3077,801.8315,796.1905,796.99634
1533058200,655.16486,768.7912,806.26373,665.2381,723.2601
1533058200,740.989,792.1612,802.6374,732.52747,635.82416
1533058200,933.5897,832.4542,804.65204,920.696,666.04395
1533058200,931.978,827.619,806.26373,938.8278,756.30035
1533058200,796.5934,807.47253,804.2491,815.9341,728.49817
1533058200,657.1795,783.69965,803.44324,669.2674,601.5751
1533058200,715.6044,786.1172,802.23444,704.3223,541.13556
1533058200,914.2491,803.0403,800.2198,898.5348,839.707
1533058200,944.0659,806.6667,803.0403,939.2308,1082.2711
1533058200,818.7546,815.12823,803.44324,817.5458,842.9304
1533058200,666.4469,790.14655,794.57874,662.4176,585.8608
1533058200,693.0403,763.5531,795.38464,678.93774,634.61536
1533058200,893.2967,789.34064,802.23444,876.77655,845.7509
1533058200,956.9597,826.0073,800.6227,937.619,892.0879
1533058200,850.989,821.1722,797.3993,832.4542,790.9524
1533058200,691.4286,779.67035,796.1905,689.41394,724.87177
1533058200,687.3993,776.4469,798.20514,679.7436,695.8608
1533058200,877.1795,820.3663,789.34064,857.4359,700.696
1533058200,956.55676,834.87177,790.9524,951.7216,840.9158
1533058200,859.85345,806.6667,804.2491,874.7619,1038.3517
1533058200,699.89014,778.46155,805.05493,714.7985,920.293
1533058200,666.4469,782.49084,804.2491,667.25275,642.27106
1533058200,849.3773,806.6667,803.0403,842.1245,680.9524
1533058200,954.5421,800.2198,799.41394,956.55676,969.0476
1533058200,873.95605,814.7253,797.3993,884.43225,950.9158
1533058200,720.84247,812.3077,798.20514,728.9011,698.68134
1533058200,659.59705,779.67035,797.3993,658.3883,632.1978
1533058200,826.0073,797.3993,799.011,813.1135,717.619
1533058200,958.1685,825.2015,801.02563,938.022,834.0659
1533058200,899.34064,832.0513,801.4286,888.46155,795.38464
1533058200,747.8388,802.6374,799.41394,753.47986,759.92676
1533058200,656.3736,765.9707,798.60803,661.2088,886.4469
1533058200,801.02563,793.7729,798.20514,788.93774,866.7033
1533058200,950.5128,838.9011,796.99634,936.0073,791.75824
1533058200,906.5934,822.7839,800.6227,909.41394,858.6447
1533058200,764.35895,775.64105,803.8461,779.67035,1010.9524
1533058200,650.7326,785.31134,801.8315,650.32965,827.619
1533058200,769.19415,805.4579,804.2491,747.03296,705.12823
1533058200,948.49817,819.15753,808.68134,925.9341,867.1062
1533058200,930.7692,831.2454,804.65204,919.0842,907.8022
1533058200,788.5348,820.3663,802.23444,788.1319,844.1392
1533058200,660.80585,786.1172,803.0403,655.9707,710.3663
1533058200,749.85345,777.6557,803.0403,737.3626,696.6667
1533058200,936.4103,810.696,803.8461,921.9048,825.6044
1533058200,938.4249,826.8132,803.8461,930.7692,908.20514
1533058200,794.9817,804.2491,807.47253,805.8608,942.8571
1533058200,653.95605,766.3736,803.0403,663.22345,855.42126
1533058200,726.08057,783.69965,798.60803,708.3516,692.23444
1533058200,924.3223,831.6484,803.8461,901.75824,766.77655
1533058200,948.9011,830.4396,804.2491,939.2308,898.1319
1533058200,819.9634,798.60803,796.99634,821.978,925.9341
1533058200,668.46155,781.28204,789.7436,666.8498,749.45056
1533058200,698.2784,782.8938,794.17584,682.5641,618.0952
1533058200,894.5055,808.2784,799.011,884.43225,717.2161
1533058200,952.1245,794.57874,803.8461,954.1392,1035.9341
1533058200,838.49817,794.9817,805.8608,848.1685,1081.4652
1533058200,681.75824,790.9524,802.23444,700.696,781.28204
1533058200,680.14655,771.2088,799.81683,692.23444,678.1319
