timestamps,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT
1533222560,794.57874,814.3223,805.8608,700.293,693.0403
1533222560,749.0476,798.20514,803.44324,641.4652,475.05493
1533222560,787.72894,808.2784,801.02563,789.34064,613.2601
1533222560,874.7619,830.0366,804.65204,995.2381,983.1502
1533222560,887.25275,834.0659,808.2784,958.97437,1073.8096
1533222560,801.8315,807.8755,806.26373,733.73627,834.87177
1533222560,741.79486,792.96704,807.0696,639.0476,558.46155
1533222560,771.6117,807.8755,810.696,761.13556,547.1795
1533222560,853.4066,814.7253,810.293,974.68866,955.7509
1533222560,873.5531,805.05493,807.0696,972.674,1295.4213
1533222560,792.1612,810.696,803.8461,740.58606,863.0769
1533222560,730.10986,802.6374,804.2491,620.10986,439.59708
1533222560,753.47986,792.1612,808.2784,726.08057,597.9487
1533222560,832.0513,806.26373,807.8755,942.0513,952.1245
1533222560,871.13556,825.2015,809.0842,978.71796,1114.1025
1533222560,808.2784,814.7253,807.8755,772.8205,842.9304
1533222560,740.989,789.7436,801.02563,633.8095,570.9524
1533222560,750.2564,786.9231,797.3993,704.7253,584.2491
1533222560,828.4249,803.44324,798.60803,918.2784,900.9524
1533222560,876.77655,819.5604,797.8022,993.22345,1167.2894
1533222560,822.7839,799.81683,798.60803,800.2198,1075.0183
1533222560,750.65936,792.1612,798.20514,634.21246,732.9304
1533222560,752.674,807.8755,799.41394,686.5934,488.75458
1533222560,826.8132,809.4872,804.2491,901.75824,780.87915
1533222560,883.6264,816.7399,803.44324,1007.72894,1119.3407
1533222560,836.8865,816.7399,803.8461,830.84247,901.3553
1533222560,759.5238,799.011,805.05493,646.30035,478.27838
1533222560,748.6447,781.28204,803.8461,671.685,455.31134
1533222560,811.9048,794.17584,803.8461,871.13556,790.54944
1533222560,880.40295,818.7546,806.6667,1003.2967,1097.1794
1533222560,848.97437,817.1429,808.68134,857.8388,987.98535
1533222560,767.98535,799.011,810.293,661.6117,617.6923
1533222560,753.47986,784.5055,809.0842,663.6264,620.10986
1533222560,812.71063,809.89014,809.0842,847.76556,750.65936
1533222560,884.43225,833.2601,812.71063,1004.90845,1008.5348
1533222560,864.68866,822.381,812.71063,890.07324,1031.9048
1533222560,779.67035,809.0842,809.4872,676.1172,624.94507
1533222560,746.2271,805.8608,809.0842,643.47986,381.17215
1533222560,799.81683,809.0842,808.2784,816.337,617.6923
1533222560,882.01465,821.978,810.696,1004.10254,1066.1538
1533222560,874.35895,832.4542,812.71063,919.4872,1120.9524
1533222560,786.52014,807.0696,806.6667,693.0403,797.8022
1533222560,743.8095,792.96704,803.44324,630.18317,570.14655
1533222560,786.9231,787.326,807.47253,791.3553,868.315
1533222560,870.32965,805.4579,811.9048,997.25275,1325.641
1533222560,879.59705,840.5128,814.3223,950.5128,1108.4615
1533222560,796.99634,819.15753,813.1135,726.4835,718.4249
1533222560,748.6447,798.20514,811.50183,635.82416,556.4469
1533222560,784.5055,808.68134,814.7253,768.7912,558.0586
1533222560,865.4945,824.7985,813.91943,978.71796,900.54944
1533222560,889.2674,826.8132,811.9048,966.2271,1098.3883
