timestamps,TP9,AF7,AF8,TP10,Right AUX
1533222560,844.94507,804.65204,805.8608,790.54944,640.2564
1533222560,843.3333,803.0403,808.2784,830.0366,839.304
1533222560,794.57874,797.3993,803.44324,820.7692,837.6923
1533222560,773.22345,793.7729,798.60803,787.72894,703.1135
1533222560,791.3553,794.57874,797.8022,765.9707,689.011
1533222560,829.6337,796.5934,800.2198,774.83514,766.3736
1533222560,837.28937,800.6227,800.2198,819.15753,872.3443
1533222560,797.8022,799.81683,799.41394,825.2015,868.315
1533222560,770,798.20514,799.41394,792.96704,869.12085
1533222560,784.90845,792.96704,798.60803,772.8205,905.38464
1533222560,816.7399,792.5641,801.8315,784.5055,879.19415
1533222560,831.6484,803.44324,804.2491,824.7985,776.04395
1533222560,806.26373,803.8461,804.65204,833.2601,779.67035
1533222560,768.3883,799.41394,799.81683,799.011,755.4945
1533222560,769.59705,799.41394,795.78754,771.6117,659.19415
1533222560,815.12823,799.81683,795.78754,778.46155,668.0586
1533222560,851.79486,802.6374,799.41394,825.2015,811.9048
1533222560,823.9927,807.0696,800.2198,841.7216,893.69965
1533222560,782.8938,808.68134,799.81683,807.0696,811.0989
1533222560,784.10254,810.293,803.0403,777.25275,769.19415
1533222560,823.5897,811.0989,806.6667,779.2674,849.3773
1533222560,855.0183,810.293,808.68134,823.9927,1124.5787
1533222560,834.4689,811.0989,808.2784,843.3333,1052.8572
1533222560,790.14655,812.3077,807.47253,809.89014,706.337
1533222560,777.25275,803.44324,803.44324,778.86444,634.21246
1533222560,813.91943,800.6227,799.81683,772.8205,633.00366
1533222560,852.1978,809.4872,802.6374,811.50183,707.5458
1533222560,829.6337,810.293,805.4579,840.5128,773.22345
1533222560,784.5055,805.4579,803.44324,816.337,762.74725
1533222560,772.4176,803.44324,803.44324,786.9231,690.6227
1533222560,797.3993,805.4579,805.4579,778.86444,661.6117
1533222560,836.4835,803.8461,803.44324,810.293,802.6374
1533222560,831.2454,805.4579,804.65204,847.76556,1145.9341
1533222560,782.49084,807.0696,802.23444,829.2308,1137.0696
1533222560,761.13556,806.6667,795.78754,789.34064,782.49084
1533222560,796.5934,809.0842,798.60803,776.04395,678.1319
1533222560,844.94507,810.696,802.6374,808.68134,797.8022
1533222560,838.9011,809.0842,802.23444,843.3333,907.3993
1533222560,791.3553,801.4286,800.2198,822.7839,821.5751
1533222560,763.1502,793.36993,796.5934,787.72894,693.44324
1533222560,776.8498,792.96704,794.9817,763.1502,615.6777
1533222560,821.5751,803.0403,796.1905,779.67035,640.2564
1533222560,830.0366,807.0696,799.81683,822.381,748.6447
1533222560,788.5348,800.2198,796.5934,813.1135,903.36993
1533222560,758.71796,800.6227,791.3553,780.4762,932.7839
1533222560,778.46155,803.8461,797.8022,760.7326,692.6374
1533222560,827.619,805.8608,800.6227,777.6557,581.4286
1533222560,835.2747,809.4872,802.23444,828.4249,774.0293
1533222560,795.78754,807.8755,802.6374,830.84247,923.1135
1533222560,772.8205,807.0696,801.02563,796.99634,786.1172
1533222560,781.28204,807.47253,802.6374,772.8205,633.8095
1533222560,815.9341,797.8022,803.8461,785.31134,749.85345
1533222560,833.2601,794.57874,802.23444,829.6337,904.57874
1533222560,796.1905,798.60803,802.23444,830.0366,786.52014
1533222560,761.9414,799.011,803.44324,799.011,676.1172
1533222560,766.3736,794.9817,800.6227,771.6117,661.2088
