timestamps,TP9,AF7,AF8,TP10,Right AUX
45218.44510450,809.89014,816.337,1018.60803,796.99634,720.0366
45218.44510450,813.91943,813.91943,905.78754,802.23444,838.0952
45218.44510450,816.7399,811.9048,851.39197,807.8755,871.9414
45218.44510451,816.337,809.4872,955.7509,803.0403,763.95605
45218.44510451,815.5311,811.50183,1003.2967,798.60803,684.57874
45218.44510451,813.1135,811.0989,737.76556,800.6227,874.35895
45218.44510453,804.2491,809.89014,558.46155,796.5934,1090.3297
45218.44510453,807.0696,812.3077,890.87915,798.60803,863.8828
45218.44510453,810.696,810.293,1056.8865,803.0403,671.28204
45218.44510454,809.0842,808.68134,734.94507,805.8608,864.2857
45218.44510454,808.2784,808.68134,624.1392,803.0403,893.69965
45218.44510455,810.293,808.68134,979.5238,799.81683,669.67035
45218.44510480,808.68134,811.9048,990.40295,799.81683,695.8608
45218.44510480,806.26373,817.5458,914.65204,797.3993,774.0293
45218.44510481,805.8608,819.5604,957.76556,801.02563,722.4542
45218.44510481,805.4579,813.1135,992.01465,803.8461,666.04395
45218.44510484,808.2784,812.71063,935.2015,802.23444,731.7216
45218.44510484,808.2784,813.5165,795.38464,803.44324,869.12085
45218.44510484,807.47253,812.3077,805.05493,802.6374,932.7839
45218.44510484,804.65204,804.2491,933.1868,797.3993,829.2308
45218.44510485,809.4872,806.26373,933.9927,799.41394,745.82416
45218.44510485,808.2784,810.696,583.0403,806.6667,943.2601
45218.44510485,799.41394,807.47253,713.1868,802.6374,844.1392
45218.44510485,798.20514,805.8608,1023.0403,789.7436,622.52747
45218.44510535,797.8022,804.2491,906.1905,786.52014,692.6374
45218.44510536,805.4579,805.4579,917.47253,792.1612,770.80585
45218.44510536,813.1135,804.65204,974.68866,803.0403,714.3956
45218.44510536,810.696,803.8461,992.4176,810.293,703.5165
45218.44510536,811.9048,808.2784,908.60803,812.3077,781.685
45218.44510536,813.5165,806.26373,728.49817,815.9341,776.04395
45218.44510537,817.5458,806.6667,708.3516,821.1722,736.9597
45218.44510537,826.0073,810.293,921.0989,819.15753,807.0696
45218.44510537,822.7839,805.05493,799.81683,819.15753,910.2198
45218.44510537,818.7546,804.2491,430.7326,828.022,1195.4945
45218.44510537,821.978,802.23444,768.3883,822.381,1090.7325
45218.44510537,829.6337,804.65204,1026.2638,816.7399,744.21246
45218.44510573,823.9927,807.0696,935.6044,816.337,774.43225
45218.44510574,817.5458,807.0696,998.46155,809.0842,753.0769
45218.44510574,813.5165,806.26373,1009.34064,802.23444,691.4286
45218.44510574,805.4579,805.8608,977.1062,801.8315,715.6044
45218.44510574,803.44324,807.8755,961.79486,799.011,776.04395
45218.44510575,808.2784,809.4872,950.10986,798.20514,858.6447
45218.44510576,809.0842,806.26373,958.5714,802.23444,873.95605
45218.44510576,808.68134,803.44324,933.9927,794.9817,777.25275
45218.44510578,819.9634,805.4579,628.1685,807.47253,943.2601
45218.44510578,824.3956,805.8608,729.707,811.0989,943.663
45218.44510578,820.3663,804.2491,1026.6666,796.5934,712.7839
45218.44510578,821.5751,801.02563,835.2747,796.1905,795.38464
45218.44510612,825.2015,800.2198,780.07324,799.011,799.81683
45218.44510613,821.1722,797.8022,1000.07324,803.8461,673.69965
45218.44510613,809.89014,795.78754,1011.3553,805.05493,681.75824
45218.44510613,801.02563,796.99634,973.0769,803.44324,788.93774
45218.44510615,804.2491,802.23444,954.5421,808.2784,802.6374
45218.44510615,806.26373,805.05493,929.15753,809.4872,838.49817
45218.44510615,806.6667,801.4286,959.7802,807.0696,821.1722
45218.44510616,814.7253,799.011,722.0513,816.337,846.1539
45218.44510616,813.1135,799.81683,676.9231,825.2015,976.7033
45218.44510616,808.2784,800.6227,974.2857,813.91943,869.5238
45218.44510617,819.15753,804.65204,958.1685,809.4872,745.82416
45218.44510617,827.619,807.47253,735.34796,820.7692,830.84247
45218.44510683,821.1722,803.0403,697.47253,817.1429,923.1135
45218.44510683,810.293,799.41394,983.1502,802.23444,755.09155
45218.44510683,805.4579,796.5934,992.8205,804.65204,707.5458
45218.44510684,806.26373,792.5641,826.8132,806.26373,724.87177
45218.44510684,809.0842,791.75824,890.07324,807.0696,730.10986
45218.44510684,813.91943,795.78754,994.43225,813.91943,775.2381
45218.44510685,813.91943,798.20514,929.9634,809.4872,786.1172
45218.44510685,813.1135,800.2198,695.05493,815.12823,930.3663
45218.44510688,809.0842,799.011,854.61536,811.50183,885.2381
45218.44510688,807.8755,796.99634,1063.7362,804.65204,694.65204
45218.44510688,815.9341,796.99634,913.0403,811.0989,730.5128
45218.44510688,815.5311,796.1905,910.2198,804.65204,743.4066
45218.44510760,811.50183,796.1905,1014.17584,800.6227,734.1392
45218.44510762,817.9487,794.57874,1000.4762,806.26373,723.663
45218.44510766,814.3223,793.7729,925.12823,807.47253,711.5751
45218.44510766,813.1135,796.99634,923.1135,805.4579,810.696
45218.44510767,812.71063,792.1612,971.4652,804.65204,778.0586
45218.44510767,804.65204,787.72894,922.3077,802.6374,722.8571
45218.44510767,805.8608,792.5641,749.45056,805.4579,869.92676
45218.44510769,803.44324,790.54944,847.76556,805.4579,843.3333
45218.44510769,800.6227,787.72894,1002.49084,801.4286,720.4396
45218.44510769,805.05493,787.326,984.7619,801.4286,776.04395
45218.44510770,811.0989,790.54944,738.97437,807.47253,905.38464
45218.44510770,811.50183,796.5934,469.011,811.50183,1090.7325
45218.44510807,809.4872,791.75824,823.1868,801.8315,930.3663
45218.44510808,810.293,792.96704,996.04395,795.38464,696.6667
45218.44510808,809.89014,798.20514,904.17584,795.78754,693.44324
45218.44510808,815.9341,797.3993,986.77655,799.011,688.20514
45218.44510808,819.15753,798.20514,988.7912,799.81683,720.84247
45218.44510809,813.5165,800.2198,935.2015,803.8461,799.011
45218.44510809,811.50183,798.60803,821.5751,811.50183,938.4249
45218.44510809,814.7253,801.8315,859.85345,806.26373,918.68134
