timestamps,TP9,AF7,AF8,TP10,AUX Right
143406.90695862717,-36.70562178614933,-199.1720186199071,-43.10876521752748,-37.968527972765315,-43.908727896651015
143406.90807911733,-24.80110469425798,-528.9956792977932,-45.156285258435425,-25.4765484282717,158.7053845531361
143406.91085539025,-21.718104205546858,-413.3645441904776,-44.02282159904891,-29.835080903350793,58.393991931954545
143406.91478029307,-28.043803415621092,-371.8654592334481,-37.81480678770096,-35.44070043156251,33.68696467919816
143406.954294779,-31.389050384401962,-561.7755280541162,-31.90121348852579,-39.21542553577139,136.73562056684472
143406.95462966763,-31.94445936577599,-513.4014370023222,-31.579743106398556,-36.14338783059354,-9.746265173846211
143406.98217322148,-28.35665329680355,-668.2097048342973,-32.97967815356151,-26.713280579170767,52.08334640508683
143406.99403903045,-25.28013063306501,-619.2671634629053,-32.5298322722622,-25.03134322367301,176.05955408322748
143406.98464402102,-30.65499755922704,-440.08778450087186,-31.359844125720684,-32.21557603308409,108.498667448983
143406.9823593541,-38.847132998338516,-628.1523289371037,-36.98296130699863,-34.11731880001656,190.08299257245864
143406.99470205553,-38.14949744430491,-294.4021528526951,-38.77480031296267,-34.763712092635814,-62.409382216617914
143407.004832434,-32.989676834398246,219.39147614803917,-38.310012518544426,-32.74624590540662,-391.8665012959572
143407.00652957603,-31.770512146295097,-20.707044011894794,-44.19972222715896,-34.54243027260124,-362.2338028842394
143407.00840375596,-27.00889577222291,-564.9133246297946,-40.30517108599372,-33.19795844837334,8.339210636780102
143407.01368054093,-28.96145518962222,-766.5058095453633,-31.804937541630206,-25.131848440317675,287.81377344352427
143407.01884992627,-36.67263993857764,-448.3331037956595,-29.666003906749378,-26.44346778896118,52.5863019856302
143407.02413911436,-34.16440736057048,-466.2270253582865,-30.52340641447054,-31.36417172811384,16.17668230967044
143407.0305713278,-29.023052449866007,-367.137544567634,-26.900529566842298,-25.282259589749362,-97.81587790959938
143407.03489395115,-24.368310912820718,54.33904701122529,-27.715737683427008,-25.789278236737537,-411.936264441415
143407.03666064754,-24.19993519614459,-150.2713181534413,-31.518052395196406,-26.755831349379953,-415.3401666431789
143407.04120621688,-26.74161078703206,-438.4443037100941,-32.76535141777674,-23.678102418683626,-146.99494345246322
143407.0495608505,-21.91595081966825,-468.394219418622,-29.579750534254302,-15.455086740034059,-64.08625892976929
143407.05543329872,-26.156196729871677,-274.6460594242422,-29.02958569325954,-25.92485687992057,-202.17392544349934
143407.05672833836,-25.42441879678292,-225.84519881616123,-33.572584233311154,-36.99294778618358,-96.42933809522978
143407.04157109527,-25.334021864344642,-513.5480665501242,-30.435988135428705,-27.452397108458197,-2.4457695526427656
143407.05005880434,-27.688727783262596,-403.0169742469737,-31.91900050965063,-22.392593981679926,-31.928723632836064
143407.04543921538,-30.861787457045704,-255.36489463503517,-41.76182109385838,-26.20937362335847,-46.13563202517958
143407.04505219767,-36.56740117044062,-530.0193851790893,-37.130150871978344,-24.886151689960172,112.37278728175463
143407.0541222894,-31.676289223198104,-772.563182241457,-28.37676488946923,-19.547547091582217,168.91913678380766
143407.0624279131,-19.47225168089762,-799.2870652762069,-32.619358613635384,-19.45950663178568,140.14400405161223
143407.0649706567,-14.791634261304834,-683.5649426372959,-26.712154079663105,-18.476296790112407,177.80307318593108
143407.06679617806,-19.08558869392421,-479.921038516144,-22.988187812212516,-21.51814274893282,41.559647282071
143407.07126446255,-20.89699591690955,-459.7318422652236,-27.406980205189704,-22.02702543553996,169.7297570537275
143407.07653223205,-28.97841070679176,-99.0137679437316,-25.34017832062275,-27.6823756359641,61.328755089545496
143407.08137354077,-36.35011358073078,226.0115681713894,-30.52834637702141,-36.74760013641345,-251.28307498321027
143407.08613691392,-25.121140694406648,22.329106198799394,-33.08655575871888,-31.76269584867622,-203.09907611915204
143407.0900923601,-25.299172503807046,-309.81471478061826,-34.266984635698094,-27.241891002401974,28.69649062325819
143407.0931203144,-27.866424837401915,-467.8253240147409,-32.29467660801694,-27.761695259004426,131.77048210539962
143407.09732142824,-24.975003725759997,-384.45421754561346,-32.001937576480145,-33.48052033662848,48.16306748801303
143407.1033489589,-25.98155745908179,-572.0657943829915,-31.97987438877264,-31.25400642699743,122.15423441546145
143407.10847548395,-24.474121749402393,-488.99524918802956,-30.777337520181906,-29.84326788668456,16.118197500627815
143407.1112213317,-33.311148355432834,-186.38663576594863,-34.414414896197684,-38.907287901050545,-254.9346643306204
143407.11423844943,-37.439086324271976,-125.64776536995382,-29.99014473560128,-30.177330223809715,-253.1170325083923
143407.1197548901,-33.349068494376496,-207.50230792499417,-26.61136060631144,-22.618892639994154,-158.39791602647293
143407.11263790145,-32.26676037736701,-423.4778702583443,-28.393452930307774,-22.933812920394445,-13.251554412793116
143407.1158125574,-20.3503572700086,-633.1202055433293,-24.1839327759109,-14.466535982742688,170.20059370329878
143407.10895739408,-24.701543217918434,-447.4352779127881,-29.002894186282994,-23.239821854158194,12.92830493346694
143407.10918379528,-33.95739238839026,-613.0748298990284,-31.875533106675437,-27.376065125612566,92.11877593149742
143407.11770501046,-34.51517761718328,-437.226868586956,-32.75251283397194,-21.44971371990568,-0.12850797047045148
143407.12270274232,-30.74379968900713,-51.149789357154646,-33.98828371149317,-27.374689965836144,-269.2857248267701
143407.12161662502,-19.97264320186676,-295.699538823025,-33.76013535447514,-16.795409096123798,-110.29819923787504
143407.12172887166,-17.14013436519138,-700.3997288152709,-26.880146229518868,-11.513232666654476,166.90700611196425
143407.12562226062,-25.808126408870343,-950.5777809471301,-23.035776364625892,-16.033477737807637,265.23326055864186
143407.1295623384,-28.970587923982478,-776.3358895984145,-30.251817597199988,-20.879440518082486,223.23685821483613
143407.13181170783,-25.758976749962738,-403.454339220118,-31.58486070768746,-29.734000743616313,27.9158438513837
143407.13362560506,-21.78790768549735,-520.8747388797013,-29.98603293196322,-27.101967789548116,69.21685879530071
143407.13545897132,-25.74415623783169,-284.3498931645712,-29.887869329643294,-28.375564021187174,-43.69061470280036
143407.13752036454,-34.058723766169464,187.09295031979224,-22.500917046789624,-25.90276198379442,-327.0298587364594
143407.14070900256,-38.00123149739555,-21.98061601548315,-24.142627418303526,-24.706189006429693,-334.858368951621
143407.14421192522,-39.21508770619216,-411.3245997770032,-30.395308651059164,-25.676416529738912,-129.70457318954092
143407.1459769111,-37.854870515089814,-412.14958305340895,-29.97550638869811,-23.023000664277124,-65.3238929456543
143407.14678261764,-39.72544659883765,-311.33649014066197,-32.41164499196989,-34.38063006591962,-115.89923617160358
143407.14946533774,-45.46504967366168,-572.1009887426995,-34.116128256371034,-38.29533542047993,51.86511320097996
143407.153674408,-49.005397576712625,-530.5480357336272,-29.733040837846122,-29.941384167562873,81.91137510823398
143407.1806442786,-46.567667134167635,-209.86586225309878,-34.848986826932176,-33.67204190885097,-83.63466076029904
143407.18000548286,-34.03949983226511,-233.60171514115203,-36.71997841321382,-35.18681037270392,-217.15608449651845
143407.19751238264,-33.65491157439794,-263.0861295639947,-34.327466979084136,-34.37649549076488,-209.6215755626088
143407.20538166675,-44.516617706056046,-346.48968106037785,-29.154167922419155,-36.08103181154241,-34.27547118187188
143407.1993024971,-41.05521163701896,-571.9702754343493,-27.127013276426872,-33.89154499288381,104.72827884989587
143407.1971231567,-38.02105212221464,-436.0245409820948,-31.263348229668033,-35.18794756925238,-50.942373031673796
143407.20423373015,-39.81690832330777,-588.1340726560088,-28.79017133324105,-29.73948954666314,70.54223629047155
143407.2105930788,-33.26757721658904,-416.9954008392787,-26.070491036579693,-32.3426374516781,26.95109925473944
143407.21196783183,-15.45994654268025,86.37914039890465,-38.2275622579255,-31.91685402291616,-317.4524216170623
143407.21294896014,-15.891450159588153,-112.067286137178,-39.763062645380614,-26.480057842965095,-119.72840020421889
143407.21548199642,-22.09222769488522,-532.8640011335774,-26.88074407585422,-31.269227999931005,225.35513061780736
143407.21820399212,-19.966846784015104,-874.3114815576898,-24.080450861690192,-37.722024080006676,332.96555276863387
143407.22169557732,-29.559028906520833,-881.1170693440051,-16.15076936399876,-52.821381275138215,338.2822829073019
143407.2259259848,-39.2416144860324,-502.36991081073404,-0.6014807691502106,-53.61832492181038,30.976180761496238
143407.22817825078,-29.277996391016476,-466.3888182230651,-4.422912044192541,-39.24696884348559,6.103144613726528
143407.22856672457,-16.88432722933853,-271.3282017132344,-13.28627718623536,-19.001717976976046,-109.57268059672404
143407.23120056785,-32.84648010117723,64.93409816970704,-7.636728471861612,-10.41629780295761,-409.3315072550662
