,0,1,2,3,4,5
0,143408.76111334393,-36.62109375,92.28515625,-28.3203125,-36.62109375,-213.8671875
1,143408.76607663612,-49.8046875,81.0546875,-35.64453125,-45.41015625,-237.79296875
2,143408.7710399283,-36.62109375,-6.34765625,-35.64453125,-35.64453125,-180.6640625
3,143408.7760032205,-20.01953125,-150.390625,-32.2265625,-27.83203125,11.23046875
4,143408.78096651268,-31.25,-44.921875,-34.66796875,-38.57421875,-88.8671875
5,143408.78592980487,-47.8515625,-220.703125,-40.52734375,-46.38671875,-101.5625
6,143408.79089309706,-35.64453125,-400.87890625,-40.0390625,-40.52734375,20.5078125
7,143408.79585638925,-18.5546875,-316.40625,-34.1796875,-27.34375,28.80859375
8,143408.80081968143,-21.484375,-168.9453125,-28.80859375,-20.99609375,-140.13671875
9,143408.80578297362,-38.57421875,48.828125,-24.90234375,-34.1796875,-223.14453125
10,143408.8107462658,-44.43359375,-102.5390625,-32.71484375,-42.48046875,-47.8515625
11,143408.815709558,-34.1796875,-797.8515625,-36.1328125,-31.25,286.1328125
12,143408.82067285018,-33.203125,-418.9453125,-30.76171875,-23.4375,83.984375
13,143408.82563614237,-43.9453125,81.0546875,-27.83203125,-35.15625,-182.12890625
14,143408.83059943456,-40.0390625,-62.01171875,-29.78515625,-49.31640625,-220.703125
15,143408.83556272674,-16.6015625,5.859375,-33.69140625,-27.34375,-193.359375
16,143408.84052601893,11.23046875,61.5234375,-26.3671875,5.37109375,-58.59375
17,143408.84548931112,-7.8125,-199.21875,-33.203125,-33.203125,-118.65234375
18,143408.8504526033,-34.66796875,-597.16796875,-39.0625,-80.56640625,37.59765625
19,143408.8554158955,-15.13671875,-936.5234375,-30.2734375,-48.828125,385.25390625
20,143408.83149727483,1.953125,-398.4375,-39.55078125,-17.578125,98.14453125
21,143408.83636542835,-18.06640625,127.9296875,-44.921875,-28.80859375,-136.71875
22,143408.84123358186,-45.8984375,59.08203125,-38.0859375,-42.96875,-179.6875
23,143408.84610173537,-45.8984375,-106.4453125,-41.9921875,-37.109375,-346.6796875
24,143408.85096988888,-26.3671875,-53.7109375,-49.31640625,-21.97265625,-348.14453125
25,143408.8558380424,-20.5078125,25.87890625,-52.24609375,-21.97265625,-132.8125
26,143408.8607061959,-32.71484375,-562.01171875,-48.828125,-38.0859375,49.31640625
27,143408.86557434942,-42.48046875,-435.546875,-45.41015625,-48.33984375,-123.046875
28,143408.87044250293,-25.87890625,-28.3203125,-50.78125,-34.66796875,-214.84375
29,143408.87531065644,-13.671875,-193.84765625,-45.41015625,-26.3671875,-15.625
30,143408.88017880995,-25.390625,-318.84765625,-35.15625,-35.15625,56.15234375
31,143408.88504696346,-30.2734375,-264.6484375,-34.66796875,-28.3203125,9.765625
32,143408.88991511698,-21.97265625,88.37890625,-38.57421875,-17.08984375,-17.578125
33,143408.8947832705,-13.18359375,34.1796875,-43.9453125,-17.578125,93.75
34,143408.899651424,-21.97265625,-777.83203125,-45.8984375,-22.94921875,360.3515625
35,143408.9045195775,-31.73828125,-485.83984375,-44.43359375,-29.296875,124.51171875
36,143408.90938773102,-22.94921875,59.5703125,-41.9921875,-27.83203125,-131.34765625
37,143408.91425588453,-17.08984375,44.921875,-38.0859375,-12.6953125,-89.35546875
38,143408.91912403805,-18.5546875,89.84375,-31.25,-14.16015625,-56.640625
39,143408.92399219156,-32.2265625,22.94921875,-31.25,-30.2734375,-83.0078125
40,143408.9214152932,-36.62109375,-0.9765625,-31.25,-24.90234375,-118.65234375
41,143408.92471601942,-23.92578125,-326.171875,-37.109375,-14.16015625,175.78125
42,143408.92801674563,-29.78515625,-538.57421875,-45.41015625,-20.01953125,382.8125
43,143408.93131747184,-43.45703125,-397.94921875,-44.43359375,-35.15625,159.66796875
44,143408.93461819805,-39.55078125,-314.453125,-42.48046875,-43.45703125,-15.13671875
45,143408.93791892426,-19.04296875,-1.46484375,-39.55078125,-28.80859375,-52.734375
46,143408.94121965047,-13.671875,146.484375,-36.62109375,-23.4375,5.859375
47,143408.94452037668,-31.73828125,81.0546875,-39.0625,-42.48046875,-37.109375
