,0,1,2,3
0,-973.14453125,-1000.0,-609.86328125,986.81640625
1,675.78125,629.8828125,-529.78515625,-667.96875
2,713.8671875,698.2421875,-548.33984375,-895.01953125
3,-789.55078125,-751.953125,-608.88671875,517.08984375
4,-1000.0,-1000.0,-595.21484375,-987.3046875
5,443.359375,107.421875,-498.046875,-425.29296875
6,991.2109375,-982.421875,-408.69140625,-1000.0
7,-584.47265625,-422.8515625,-637.6953125,-409.1796875
8,-1000.0,-1000.0,-617.1875,-979.4921875
9,-357.91015625,-648.4375,-608.88671875,251.953125
10,994.140625,871.58203125,-585.9375,-1000.0
11,-49.31640625,248.046875,-652.83203125,-887.6953125
12,-1000.0,-1000.0,-610.83984375,720.21484375
13,-835.9375,-922.8515625,-605.95703125,914.0625
14,744.140625,667.96875,-549.31640625,-838.37890625
15,811.5234375,887.20703125,-582.03125,-1000.0
16,-937.98828125,-831.54296875,-603.02734375,684.5703125
17,-1000.0,-1000.0,-490.234375,990.234375
18,677.734375,533.203125,-465.8203125,-646.97265625
19,989.74609375,979.00390625,-585.9375,-1000.0
20,-642.578125,-605.46875,-651.3671875,271.97265625
