timestamps,TP9,AF7,AF8,TP10,Right AUX
45218.45731,792.96704,772.01465,911.4286,786.52014,675.31134
45218.45731,789.7436,769.59705,904.57874,784.5055,718.4249
45218.45731,792.96704,771.2088,907.3993,779.2674,771.2088
45218.45731,799.81683,772.4176,913.44324,780.87915,687.3993
45218.45731,801.4286,774.0293,916.26373,782.49084,738.1685
45218.45731,797.8022,774.83514,917.47253,780.07324,891.685
45218.45731,796.99634,776.4469,907.3993,790.14655,1164.0659
45218.45731,795.38464,777.6557,908.60803,788.93774,1045.2014
45218.45731,787.326,778.0586,915.8608,780.4762,642.27106
45218.45731,790.14655,783.2967,901.75824,780.87915,808.2784
45218.45731,798.60803,784.10254,887.6557,780.4762,819.5604
45218.45731,797.3993,776.8498,895.7143,781.28204,617.6923
45218.45731,794.17584,778.0586,900.14655,787.72894,640.65936
45218.45731,792.96704,779.2674,888.86444,790.54944,787.326
45218.45731,796.99634,777.6557,885.64105,789.34064,846.9597
45218.45731,792.1612,774.0293,886.8498,786.52014,780.07324
45218.45731,799.81683,775.64105,879.59705,789.7436,738.5714
45218.45731,798.60803,779.2674,875.9707,790.54944,825.2015
45218.45731,786.9231,781.28204,879.59705,784.10254,913.8461
45218.45731,789.34064,783.69965,883.22345,785.31134,845.34796
45218.45731,793.7729,781.685,889.2674,791.3553,774.83514
45218.45731,792.1612,779.67035,889.67035,799.011,917.47253
45218.45731,790.54944,780.4762,896.52014,803.8461,929.15753
45218.45731,794.9817,783.2967,903.7729,796.1905,801.02563
45218.45731,793.36993,781.685,900.54944,786.1172,848.5714
45218.45731,793.7729,782.8938,892.8938,783.69965,855.42126
45218.45731,797.3993,786.52014,886.04395,784.90845,788.93774
45218.45731,790.9524,781.28204,878.7912,779.67035,703.91943
45218.45731,794.57874,779.67035,861.06226,772.8205,801.02563
45218.45731,798.60803,783.69965,853.8095,775.2381,931.1722
45218.45731,786.9231,778.86444,856.63007,773.22345,860.65936
45218.45731,791.3553,779.2674,855.0183,778.86444,801.4286
45218.45731,797.8022,779.67035,853.00366,786.1172,831.6484
45218.45731,791.3553,782.0879,856.2271,782.49084,988.3883
45218.45731,793.36993,787.326,863.8828,778.46155,883.6264
