timestamps,TP9,AF7,AF8,TP10,Right AUX
45211.44082133,915.8608,810.696,801.4286,827.619,599.15753
45211.44082133,809.89014,765.56775,792.1612,722.4542,799.41394
45211.44082133,823.1868,758.71796,793.7729,770.40295,881.6117
45211.44082134,877.1795,791.75824,780.07324,841.7216,722.0513
45211.44082134,923.5165,764.35895,775.64105,775.2381,754.2857
45211.44082134,1053.2601,714.7985,796.5934,811.0989,844.5421
45211.44082135,1097.9854,722.0513,812.3077,844.5421,844.94507
45211.44082135,960.989,743.00366,805.8608,883.6264,876.77655
45211.44082135,996.04395,731.31866,814.7253,864.2857,865.89746
45211.44082137,983.1502,699.4872,805.4579,807.0696,1052.0513
45211.44082137,926.7399,743.8095,786.1172,820.7692,1156.0073
45211.44082137,911.8315,851.39197,796.5934,813.91943,837.6923
45211.44082164,946.4835,797.8022,798.20514,809.89014,686.1905
45211.44082164,1070.586,752.674,812.71063,924.7253,753.8828
45211.44082166,997.6557,809.4872,799.011,948.9011,684.9817
45211.44082166,923.1135,813.91943,776.4469,821.1722,553.22345
45211.44082166,1043.5897,745.82416,805.4579,765.56775,637.4359
45211.44082167,1066.1538,728.0952,809.4872,842.52747,811.0989
45211.44082167,907.8022,786.9231,796.99634,858.6447,904.57874
45211.44082167,925.5311,828.4249,809.4872,852.6007,759.92676
45211.44082167,1027.0696,750.2564,815.5311,824.7985,761.53845
45211.44082168,1084.2858,671.685,801.02563,819.15753,1018.20514
45211.44082168,1003.69965,863.0769,771.6117,753.0769,857.03296
45211.44082168,920.293,897.72894,769.19415,759.12085,758.71796
45211.44082170,970.2564,780.07324,797.3993,952.1245,811.0989
45211.44082171,1039.1575,785.7143,809.4872,887.6557,786.9231
45211.44082172,972.27106,794.17584,789.7436,838.9011,749.85345
45211.44082174,1072.1978,796.1905,775.2381,893.2967,720.84247
45211.44082174,1062.1245,756.7033,787.326,817.9487,909.41394
45211.44082174,846.55676,758.315,800.2198,834.0659,991.2088
45211.44082174,945.2747,782.49084,792.5641,873.1502,892.49084
45211.44082175,1105.641,765.56775,799.011,853.4066,896.1172
45211.44082175,1071.7949,670.4762,817.5458,875.16486,1037.5458
45211.44082175,1016.1905,682.96704,807.0696,742.1978,1116.5201
45211.44082176,990.80585,866.7033,767.98535,748.24176,783.69965
45211.44082176,1008.93774,835.6777,766.77655,941.2454,591.9048
45211.44082200,985.9707,791.75824,770.80585,910.2198,761.9414
45211.44082201,994.43225,788.93774,801.02563,866.7033,701.50183
45211.44082203,979.5238,761.53845,832.8571,832.4542,572.1612
45211.44082203,911.4286,724.4689,807.8755,805.8608,710.7692
45211.44082204,866.7033,694.65204,754.68866,836.4835,846.9597
45211.44082206,941.6484,755.09155,789.34064,792.1612,813.1135
45211.44082207,1066.1538,771.2088,832.8571,842.52747,781.685
45211.44082208,952.52747,747.03296,834.0659,867.1062,855.82416
45211.44082209,917.8755,684.17584,815.5311,851.79486,1088.7179
45211.44082211,990,798.20514,807.47253,841.31866,969.85345
45211.44082212,973.0769,865.4945,811.9048,815.9341,640.2564
45211.44082213,875.9707,786.52014,776.4469,810.696,645.89746
45211.44082253,938.022,782.0879,793.7729,769.19415,691.4286
45211.44082255,1037.5458,786.1172,813.91943,782.8938,639.85345
45211.44082255,893.69965,791.3553,795.78754,862.27106,675.7143
45211.44082256,889.2674,771.2088,803.8461,826.8132,726.08057
45211.44082257,1041.1721,774.43225,803.44324,794.9817,703.91943
45211.44082258,1009.7436,750.2564,821.5751,803.8461,786.52014
45211.44082258,939.2308,733.3333,842.1245,865.09155,807.0696
45211.44082258,896.52014,694.2491,824.3956,841.7216,964.61536
45211.44082259,924.7253,665.64105,797.3993,800.2198,1207.5824
45211.44082259,971.06226,836.8865,808.68134,821.978,880.80585
45211.44082259,869.12085,869.92676,811.9048,735.7509,638.6447
45211.44082259,874.7619,799.81683,799.81683,758.315,731.31866
45211.44082340,1033.1135,833.663,805.05493,843.3333,705.5311
45211.44082341,1049.6337,804.65204,809.4872,848.97437,662.01465
45211.44082341,952.52747,728.49817,807.47253,820.3663,684.9817
45211.44082341,913.44324,757.1062,811.0989,767.1795,727.6923
45211.44082343,911.02563,796.1905,814.7253,804.2491,672.0879
45211.44082343,932.7839,770,805.05493,873.1502,813.5165
45211.44082343,933.1868,723.663,799.41394,836.4835,963.4066
45211.44082344,940.84247,722.4542,815.12823,801.4286,1012.1612
45211.44082344,919.4872,845.34796,819.5604,819.9634,782.49084
45211.44082344,867.9121,835.2747,832.4542,800.2198,602.7839
45211.44082344,902.96704,723.663,840.5128,829.2308,869.92676
45211.44082345,894.5055,765.9707,826.0073,837.6923,921.50183
45211.44082377,867.1062,867.50916,815.12823,773.6264,709.15753
45211.44082378,863.47986,805.4579,800.2198,784.5055,660
45211.44082378,925.5311,753.8828,807.47253,868.71796,746.63007
45211.44082378,907.3993,803.44324,837.6923,871.13556,789.34064
45211.44082378,871.53845,805.4579,830.84247,827.2161,739.3773
45211.44082380,916.6667,778.0586,791.75824,815.9341,799.41394
45211.44082381,889.67035,711.1722,782.8938,797.8022,1041.5751
45211.44082381,846.9597,724.0659,815.5311,815.12823,1079.8535
45211.44082381,860.65936,884.43225,836.4835,842.9304,780.4762
45211.44082382,865.89746,855.0183,832.8571,776.4469,714.3956
45211.44082382,902.96704,774.43225,830.84247,823.9927,803.0403
45211.44082382,840.9158,826.0073,845.7509,832.4542,735.7509
45211.44082455,773.22345,809.4872,830.0366,750.65936,728.9011
45211.44082455,857.03296,755.09155,803.44324,813.1135,831.2454
45211.44082456,853.4066,771.2088,799.011,822.381,915.4579
45211.44082456,836.08057,853.4066,797.8022,772.4176,814.7253
45211.44082456,788.93774,844.5421,800.2198,763.1502,647.1062
45211.44082457,813.5165,722.8571,820.7692,826.8132,802.23444
45211.44082457,890.4762,724.87177,826.4103,859.85345,976.7033
45211.44082458,787.72894,865.4945,793.36993,812.71063,803.0403
45211.44082458,812.71063,848.97437,798.60803,827.619,615.2747
45211.44082458,813.91943,739.7802,797.8022,835.6777,738.1685
45211.44082459,768.3883,763.5531,811.9048,789.7436,850.58606
45211.44082459,853.8095,834.0659,854.21246,792.5641,732.9304
45211.44082495,874.35895,818.3516,845.34796,799.41394,722.4542
45211.44082497,722.0513,802.23444,815.9341,749.85345,794.17584
45211.44082497,689.81683,799.81683,803.8461,788.93774,854.21246
45211.44082497,846.9597,769.19415,847.76556,822.381,886.8498
45211.44082497,806.26373,798.60803,853.00366,774.83514,804.2491
45211.44082498,763.1502,716.8132,810.293,848.5714,1009.34064
45211.44082498,820.7692,693.8461,815.9341,828.4249,1108.4615
45211.44082498,781.28204,818.7546,823.5897,768.3883,819.9634
45211.44082500,759.92676,806.6667,830.0366,777.6557,679.34064
45211.44082500,867.50916,691.8315,817.5458,826.4103,896.52014
45211.44082500,848.1685,730.10986,808.68134,837.6923,1014.9817
45211.44082500,809.89014,856.63007,808.68134,819.15753,751.8681
45211.44082532,730.10986,798.60803,795.78754,792.5641,691.8315
45211.44082534,745.82416,763.95605,818.7546,830.84247,688.60803
45211.44082534,890.4762,786.9231,836.8865,852.1978,749.85345
45211.44082535,861.4652,788.93774,815.9341,809.0842,776.04395
45211.44082535,775.64105,761.9414,815.9341,788.93774,792.96704
45211.44082535,801.8315,743.4066,828.4249,798.20514,921.9048
45211.44082535,837.6923,758.315,814.7253,842.1245,860.65936
45211.44082536,817.1429,775.64105,814.3223,842.52747,782.0879
45211.44082536,773.6264,747.4359,826.8132,786.52014,844.5421
45211.44082536,746.63007,651.53845,813.91943,818.7546,1041.1721
45211.44082537,812.3077,776.8498,809.0842,821.978,871.13556
45211.44082537,835.2747,827.2161,821.5751,782.49084,622.1245
45211.44082612,833.2601,721.2454,810.293,815.12823,633.4066
45211.44082612,840.5128,752.674,803.8461,803.44324,550.80585
45211.44082612,796.99634,786.9231,801.8315,778.46155,521.79486
45211.44082613,792.1612,769.19415,788.93774,824.7985,551.2088
45211.44082613,792.5641,746.63007,779.67035,813.1135,617.28937
45211.44082613,796.5934,755.4945,801.8315,786.9231,736.9597
45211.44082615,819.5604,763.95605,811.0989,803.8461,812.3077
45211.44082615,819.5604,770,798.60803,779.67035,778.46155
45211.44082615,812.3077,701.9048,818.7546,781.685,990.80585
45211.44082615,794.57874,651.9414,823.5897,807.47253,1253.9194
45211.44082617,786.52014,822.381,817.5458,792.1612,981.53845
45211.44082617,765.9707,867.9121,822.7839,785.7143,760.32965
45211.44082649,818.7546,793.36993,813.91943,815.12823,931.5751
45211.44082649,805.4579,797.3993,795.78754,792.1612,825.2015
45211.44082650,805.8608,779.2674,776.8498,799.41394,646.7033
45211.44082650,777.6557,748.24176,772.8205,796.1905,684.57874
45211.44082650,752.674,738.1685,803.0403,787.326,767.5824
45211.44082650,843.3333,739.3773,828.8278,803.8461,820.7692
45211.44082652,813.1135,768.3883,828.022,801.4286,828.4249
45211.44082652,789.7436,743.4066,808.68134,807.47253,890.87915
45211.44082652,797.3993,682.1612,786.9231,801.02563,1045.6044
45211.44082653,794.17584,824.7985,805.8608,819.9634,836.8865
45211.44082653,803.8461,866.30035,819.9634,838.9011,612.8571
45211.44082654,778.86444,719.2308,814.3223,813.1135,766.3736
45211.44082688,781.28204,755.89746,819.5604,801.02563,839.304
45211.44082689,821.5751,806.6667,802.23444,804.2491,726.8865
45211.44082689,820.3663,759.92676,790.14655,814.3223,658.7912
45211.44082690,792.1612,764.35895,792.5641,809.4872,695.8608
45211.44082690,758.315,780.4762,779.67035,800.6227,691.4286
45211.44082690,783.2967,767.1795,779.2674,805.8608,668.0586
45211.44082690,804.65204,757.50916,802.23444,819.9634,750.65936
45211.44082691,781.28204,755.4945,831.6484,815.5311,838.49817
45211.44082691,774.83514,788.5348,842.1245,813.1135,838.0952
45211.44082691,752.674,822.7839,826.4103,787.72894,759.5238
45211.44082691,736.55676,788.93774,811.50183,777.25275,722.0513
45211.44082692,767.98535,664.43225,815.5311,813.91943,959.3773
45211.44082764,767.1795,716.8132,820.7692,819.5604,1102.4176
45211.44082765,731.7216,832.4542,819.5604,788.5348,828.022
45211.44082765,720.0366,744.61536,808.68134,814.7253,777.25275
45211.44082765,705.9341,747.03296,805.8608,836.8865,792.1612
45211.44082766,711.1722,784.90845,820.7692,809.4872,695.8608
45211.44082766,728.0952,729.304,836.08057,804.2491,665.2381
45211.44082766,728.49817,669.2674,832.8571,796.1905,815.5311
45211.44082767,700.293,671.685,812.71063,807.8755,978.315
45211.44082767,714.7985,803.8461,811.50183,821.1722,783.2967
45211.44082767,729.707,824.7985,809.4872,818.3516,607.619
45211.44082769,701.50183,733.73627,822.381,809.0842,703.1135
45211.44082769,710.3663,726.8865,817.9487,790.14655,712.381
45211.44082808,703.5165,778.86444,798.60803,799.41394,643.0769
45211.44082808,664.43225,766.3736,812.71063,819.9634,599.5604
45211.44082809,690.2198,702.71063,815.12823,838.0952,723.663
45211.44082809,699.0842,733.73627,797.8022,830.4396,767.98535
45211.44082810,653.5531,753.8828,808.2784,802.23444,702.71063
45211.44082810,662.01465,758.315,824.3956,804.2491,849.3773
45211.44082811,671.685,697.47253,817.1429,839.304,1120.1465
45211.44082811,665.2381,635.0183,794.57874,844.5421,1273.2601
45211.44082813,675.31134,803.0403,790.9524,819.9634,969.0476
45211.44082813,688.20514,838.9011,812.3077,815.5311,702.71063
45211.44082814,696.26373,745.42126,817.1429,822.381,848.1685
45211.44082814,706.7399,793.7729,800.2198,807.47253,824.7985
45211.44082875,719.6337,818.3516,790.54944,807.0696,668.46155
45211.44082876,719.2308,742.1978,792.1612,822.381,724.4689
45211.44082878,707.9487,715.6044,796.5934,805.05493,792.96704
45211.44082880,701.9048,764.35895,816.7399,807.8755,732.1245
45211.44082880,716.0073,783.69965,818.7546,827.619,687.3993
45211.44082881,713.1868,720.4396,798.20514,808.68134,841.31866
45211.44082881,722.0513,698.68134,794.9817,800.6227,1010.9524
45211.44082882,713.9927,778.46155,802.6374,811.9048,855.0183
45211.44082882,711.5751,813.91943,799.41394,808.68134,581.02563
45211.44082882,722.0513,730.5128,817.1429,816.337,667.6557
45211.44082883,713.9927,700.696,822.7839,830.0366,878.7912
45211.44082883,720.4396,814.3223,811.9048,812.71063,635.42126
45211.44082926,730.5128,783.2967,808.68134,801.4286,664.83514
45211.44082926,717.619,745.42126,807.47253,815.12823,899.7436
45211.44082927,728.9011,778.46155,791.75824,817.1429,879.59705
45211.44082927,745.82416,762.3443,790.54944,803.44324,749.0476
45211.44082928,723.663,715.2015,795.78754,816.337,739.3773
45211.44082929,720.84247,681.3553,803.44324,852.1978,898.5348
45211.44082929,708.3516,688.60803,810.696,830.0366,916.26373
45211.44082931,696.6667,692.23444,803.44324,784.90845,906.99634
45211.44082931,737.3626,716.8132,795.38464,794.17584,826.4103
45211.44082932,757.9121,666.04395,797.8022,808.68134,966.63007
45211.44082932,749.0476,663.22345,813.5165,827.2161,1194.6886
45211.44082932,736.9597,840.5128,815.9341,852.1978,869.12085
45211.44082966,743.00366,823.9927,813.91943,817.5458,707.9487
45211.44082968,743.4066,748.24176,823.1868,801.8315,725.6777
45211.44082969,747.4359,759.92676,828.4249,809.89014,657.5824
45211.44082969,775.2381,764.7619,817.9487,823.1868,669.67035
45211.44082972,773.6264,723.663,813.91943,834.4689,744.21246
45211.44082972,765.56775,697.8755,819.15753,863.47986,860.65936
45211.44082973,784.90845,731.31866,819.9634,830.0366,846.1539
45211.44082973,808.68134,784.10254,831.6484,800.2198,730.5128
45211.44082975,827.2161,721.6484,840.10986,837.28937,780.4762
45211.44082975,835.2747,642.674,841.31866,830.0366,1019.011
45211.44082976,855.0183,811.0989,829.2308,821.978,906.5934
45211.44082976,857.4359,834.4689,825.6044,828.022,676.1172
45211.44083010,864.68866,732.1245,832.0513,830.84247,825.6044
45211.44083012,890.87915,763.5531,832.0513,855.82416,872.3443
45211.44083012,899.7436,810.293,827.2161,863.0769,692.23444
45211.44083013,893.2967,802.6374,810.293,848.1685,667.25275
45211.44083014,905.78754,778.46155,812.3077,840.10986,842.1245
45211.44083014,919.4872,785.7143,835.6777,834.87177,948.49817
45211.44083015,917.47253,810.696,830.84247,839.304,800.2198
45211.44083015,926.337,844.1392,823.9927,842.52747,789.7436
45211.44083015,926.337,788.93774,823.1868,889.67035,1034.7252
45211.44083016,910.2198,788.93774,812.3077,887.6557,1119.7435
45211.44083016,917.8755,946.08057,812.71063,809.89014,780.4762
45211.44083017,920.696,910.6227,820.7692,812.71063,668.0586
45211.44083103,921.9048,842.52747,808.68134,823.9927,757.50916
45211.44083104,951.7216,874.35895,813.5165,842.1245,704.3223
45211.44083104,958.5714,855.0183,814.3223,850.18317,603.9927
45211.44083105,949.304,801.02563,815.9341,849.7802,700.293
45211.44083105,955.7509,831.6484,828.8278,840.10986,844.94507
45211.44083106,949.304,877.5824,825.2015,834.87177,853.8095
45211.44083109,961.39197,878.3883,811.50183,848.1685,821.5751
45211.44083110,967.03296,836.4835,807.8755,838.49817,806.6667
45211.44083110,955.34796,808.68134,821.5751,828.8278,985.9707
45211.44083111,960.989,919.89014,817.5458,819.5604,863.47986
45211.44083111,956.9597,908.60803,815.12823,816.337,697.0696
45211.44083112,952.1245,823.9927,804.65204,825.2015,747.03296
45211.44083145,950.10986,838.0952,804.65204,828.022,745.42126
45211.44083146,954.5421,866.30035,817.5458,826.0073,734.1392
45211.44083147,965.82416,844.5421,811.50183,826.0073,826.4103
45211.44083149,951.31866,811.9048,796.99634,822.7839,898.5348
45211.44083150,929.9634,807.47253,791.3553,826.0073,779.67035
45211.44083152,922.71063,799.011,818.3516,838.9011,789.34064
45211.44083153,916.26373,809.4872,827.619,825.2015,838.49817
45211.44083154,906.1905,734.1392,806.26373,799.81683,996.04395
45211.44083155,902.5641,712.7839,784.5055,809.89014,1238.608
45211.44083156,909.81683,868.315,792.5641,806.6667,985.56775
45211.44083157,906.99634,840.5128,817.5458,795.38464,693.8461
45211.44083157,898.1319,745.0183,817.9487,808.68134,772.01465
45211.44083219,900.14655,821.5751,801.8315,809.0842,720.0366
45211.44083220,895.31134,863.8828,809.0842,808.2784,588.2784
45211.44083220,886.04395,795.78754,823.5897,807.47253,708.3516
