timestamps,T9,AF7,AF8,TP10,Right AUX
45218.44257620,816.7399,822.7839,871.53845,751.06226,695.8608
45218.44257620,815.9341,823.1868,975.09155,754.68866,679.34064
45218.44257620,811.0989,810.696,903.36993,754.68866,736.9597
45218.44257622,810.293,806.6667,776.04395,763.95605,823.1868
45218.44257622,819.5604,811.0989,741.79486,782.8938,903.7729
45218.44257622,817.1429,812.3077,753.0769,782.49084,892.49084
45218.44257623,812.3077,811.0989,666.8498,785.7143,834.4689
45218.44257623,813.1135,809.0842,430.32968,800.6227,1013.36993
45218.44257624,809.4872,802.23444,603.9927,801.4286,1002.49084
45218.44257627,810.696,803.0403,931.1722,799.011,703.5165
45218.44257627,814.7253,810.696,894.5055,797.3993,625.7509
45218.44257654,813.91943,814.7253,861.06226,792.96704,701.0989
45218.44257655,820.7692,817.1429,813.1135,802.6374,783.2967
45218.44257655,830.0366,817.9487,931.1722,809.4872,723.663
45218.44257655,826.8132,821.5751,843.3333,812.71063,733.3333
45218.44257655,819.5604,818.3516,697.8755,814.3223,879.19415
45218.44257656,820.3663,811.0989,777.6557,806.6667,820.3663
45218.44257656,817.5458,810.696,758.71796,803.8461,731.7216
45218.44257656,820.3663,811.50183,575.78754,813.5165,851.79486
45218.44257656,820.7692,817.1429,535.4945,821.5751,1001.685
45218.44257657,816.7399,821.5751,873.1502,813.1135,856.2271
45218.44257657,817.5458,820.3663,929.9634,814.3223,709.5604
45218.44257657,817.5458,819.15753,682.5641,822.381,758.71796
45218.44257741,819.15753,819.15753,775.64105,821.978,733.73627
45218.44257742,814.7253,817.1429,991.6117,819.15753,679.7436
45218.44257743,814.7253,812.3077,921.9048,822.7839,744.61536
45218.44257743,826.8132,815.12823,826.8132,836.08057,774.0293
45218.44257744,832.8571,817.9487,931.1722,841.7216,746.63007
45218.44257744,828.4249,813.5165,862.674,842.9304,742.1978
45218.44257745,822.381,811.0989,616.4835,845.7509,793.7729
45218.44257747,819.9634,812.3077,474.24908,861.4652,917.47253
45218.44257747,814.3223,810.696,752.674,862.27106,783.69965
45218.44257748,810.696,807.0696,995.64105,852.6007,683.36993
45218.44257748,815.5311,806.26373,889.2674,855.82416,726.8865
45218.44257749,819.5604,802.23444,896.52014,859.0476,753.0769
45218.44257795,823.9927,803.0403,859.0476,853.8095,743.8095
45218.44257795,829.6337,809.0842,797.8022,844.94507,754.2857
45218.44257796,829.6337,809.0842,699.89014,836.8865,865.4945
45218.44257796,826.8132,810.696,563.2967,835.2747,990.40295
45218.44257796,819.9634,810.696,851.39197,818.7546,809.0842
45218.44257796,819.15753,805.4579,894.90845,797.8022,695.05493
45218.44257797,821.978,805.8608,658.7912,795.38464,915.4579
45218.44257797,819.15753,807.47253,753.8828,790.14655,865.89746
45218.44257797,817.9487,807.0696,977.9121,778.0586,703.91943
45218.44257797,820.3663,803.44324,990.40295,775.64105,693.8461
45218.44257799,817.9487,797.8022,679.34064,779.67035,877.5824
45218.44257799,812.3077,797.3993,646.30035,767.5824,974.2857
45218.44257834,814.3223,802.6374,983.1502,747.03296,745.82416
45218.44257836,817.1429,806.6667,950.9158,739.7802,705.12823
45218.44257836,812.71063,809.4872,722.4542,730.9158,730.9158
45218.44257836,811.50183,811.50183,699.0842,729.707,765.16486
45218.44257837,819.5604,812.3077,931.5751,735.34796,747.8388
45218.44257837,819.15753,812.71063,871.13556,739.7802,834.0659
45218.44257838,810.293,805.8608,491.97803,743.8095,1119.3407
45218.44257838,819.15753,803.0403,587.0696,753.0769,956.55676
45218.44257839,828.8278,805.8608,956.55676,762.74725,680.14655
45218.44257840,827.619,805.4579,900.14655,764.35895,711.978
45218.44257840,825.6044,808.68134,810.696,766.77655,696.26373
45218.44257841,820.7692,809.4872,933.1868,760.32965,644.2857
45218.44257899,819.9634,808.68134,949.707,754.2857,684.9817
45218.44257900,823.5897,816.337,709.5604,770,853.00366
45218.44257904,827.2161,822.7839,684.17584,785.31134,888.86444
45218.44257905,829.6337,823.5897,944.87177,788.1319,728.0952
45218.44257905,828.8278,818.7546,985.9707,799.011,726.08057
45218.44257906,822.381,814.3223,826.0073,807.0696,842.9304
45218.44257906,820.3663,813.91943,653.95605,812.3077,864.2857
45218.44257906,818.3516,809.89014,746.2271,814.3223,857.03296
45218.44257907,811.50183,805.05493,916.26373,806.6667,797.3993
45218.44257907,811.9048,804.65204,758.71796,799.81683,803.8461
45218.44257909,817.1429,809.89014,815.9341,795.38464,791.75824
45218.44257909,819.5604,807.0696,987.98535,801.8315,728.9011
45218.44257961,818.3516,803.44324,820.3663,801.4286,713.5897
45218.44257962,811.9048,807.47253,505.27472,800.6227,884.43225
45218.44257962,804.65204,812.3077,493.1868,804.2491,990.40295
45218.44257963,805.4579,817.5458,834.87177,789.7436,703.1135
45218.44257963,808.2784,817.1429,901.75824,790.14655,635.82416
45218.44257963,805.8608,811.9048,695.4579,801.8315,796.99634
45218.44257964,804.2491,809.0842,690.2198,809.0842,863.8828
45218.44257964,803.0403,807.8755,919.4872,811.9048,771.6117
45218.44257964,803.8461,804.2491,898.1319,817.1429,813.91943
45218.44257965,815.12823,805.05493,548.3883,838.49817,1085.0916
45218.44257965,823.5897,812.3077,743.4066,844.1392,943.663
45218.44257966,817.9487,814.3223,1008.93774,843.73627,674.90845
45218.44258006,813.5165,812.71063,834.87177,850.18317,722.8571
45218.44258007,808.2784,809.89014,692.6374,844.1392,791.75824
45218.44258007,803.8461,805.8608,860.2564,835.6777,732.52747
45218.44258008,802.6374,799.41394,993.6264,830.84247,708.3516
45218.44258010,805.05493,798.60803,856.63007,825.2015,802.6374
45218.44258010,814.3223,803.44324,668.0586,828.022,877.1795
45218.44258010,814.3223,807.0696,744.61536,825.2015,880
45218.44258012,813.1135,808.68134,940.84247,813.5165,765.56775
45218.44258012,812.71063,806.6667,717.2161,808.68134,814.7253
45218.44258012,811.0989,802.6374,643.8828,815.5311,972.27106
45218.44258013,821.1722,803.0403,973.8828,814.7253,770
45218.44258013,823.1868,811.0989,901.3553,801.8315,751.06226
45218.44258043,813.91943,816.7399,605.2015,794.57874,874.7619
45218.44258044,813.91943,816.7399,745.0183,799.81683,736.55676
45218.44258044,825.2015,819.15753,1002.8938,815.9341,697.47253
45218.44258044,828.4249,820.3663,939.6337,821.978,814.3223
45218.44258045,823.9927,819.15753,857.03296,826.8132,855.42126
45218.44258045,821.978,816.337,896.9231,830.84247,870.32965
45218.44258045,823.1868,812.3077,861.06226,821.978,857.8388
45218.44258045,824.7985,811.50183,730.9158,826.4103,799.81683
45218.44258045,823.1868,812.3077,537.50916,834.4689,1002.0879
45218.44258045,817.1429,811.9048,810.696,818.3516,927.1429
45218.44258046,813.5165,810.293,1002.49084,812.71063,703.5165
45218.44258046,816.337,812.3077,844.94507,817.1429,725.2747
45218.44258084,816.337,814.3223,805.8608,815.12823,768.7912
45218.44258084,813.1135,813.1135,838.0952,815.9341,806.26373
45218.44258086,815.12823,814.3223,838.49817,821.1722,717.2161
45218.44258086,809.0842,813.91943,656.77655,825.2015,713.9927
45218.44258086,795.38464,814.7253,539.12085,825.6044,891.685
45218.44258087,797.8022,816.337,704.7253,823.5897,887.6557
45218.44258089,813.1135,813.1135,815.5311,832.4542,755.89746
45218.44258089,818.3516,812.71063,691.8315,840.5128,823.5897
45218.44258090,815.9341,818.7546,672.0879,834.0659,917.0696
45218.44258090,811.50183,820.3663,961.79486,818.3516,716.0073
45218.44258091,819.5604,819.5604,956.9597,809.4872,672.0879
45218.44258091,827.619,821.5751,865.09155,813.1135,765.9707
45218.44258162,826.4103,821.978,945.2747,816.337,724.0659
45218.44258163,822.381,819.15753,1001.685,809.0842,694.65204
45218.44258163,817.9487,814.7253,928.7546,792.96704,758.315
45218.44258164,819.9634,815.5311,851.39197,783.2967,804.2491
45218.44258164,822.381,818.3516,835.2747,777.25275,836.4835
45218.44258166,821.1722,816.337,750.2564,781.28204,837.6923
45218.44258166,825.2015,816.337,684.17584,792.1612,844.1392
45218.44258167,822.381,815.5311,442.82053,795.78754,1035.1282
45218.44258167,814.3223,813.5165,577.8022,790.54944,990.40295
45218.44258168,821.1722,813.1135,949.304,789.34064,712.7839
45218.44258169,828.8278,817.5458,920.696,796.5934,709.9634
45218.44258169,828.4249,816.7399,920.293,794.9817,767.98535
45218.44258225,829.2308,814.7253,961.39197,796.5934,770.40295
45218.44258225,826.0073,813.5165,886.04395,795.38464,740.58606
45218.44258226,821.5751,809.4872,691.4286,789.7436,758.315
45218.44258226,827.2161,810.293,664.83514,791.75824,811.50183
45218.44258227,832.0513,812.71063,916.6667,793.36993,742.6007
45218.44258227,827.619,809.4872,918.2784,788.1319,756.30035
45218.44258228,819.9634,805.05493,649.12085,786.52014,937.619
45218.44258228,813.91943,804.65204,619.707,789.34064,1072.1978
45218.44258231,801.8315,803.44324,921.9048,765.56775,806.26373
45218.44258233,800.6227,803.44324,996.04395,747.03296,624.1392
45218.44258234,812.3077,808.68134,731.31866,756.7033,834.4689
45218.44258234,815.5311,806.26373,735.34796,759.92676,909.81683
45218.44258272,811.0989,802.23444,1002.0879,753.0769,708.3516
45218.44258273,810.293,802.6374,962.1978,750.2564,707.9487
45218.44258273,811.9048,801.02563,916.6667,751.4652,845.34796
45218.44258274,817.5458,804.65204,975.89746,754.2857,834.87177
45218.44258274,816.7399,807.8755,997.25275,755.89746,735.7509
45218.44258274,808.2784,805.4579,879.59705,755.09155,875.56775
45218.44258275,811.50183,802.23444,594.3223,765.9707,1080.6593
45218.44258275,818.7546,797.8022,791.75824,770,876.77655
45218.44258275,822.381,801.4286,1043.5897,761.53845,713.5897
45218.44258277,817.9487,804.65204,894.90845,763.1502,796.99634
45218.44258277,812.3077,800.2198,754.2857,772.4176,886.4469
45218.44258277,816.7399,795.38464,925.9341,782.8938,775.64105
45218.44258322,819.9634,792.96704,1016.99634,786.9231,758.315
45218.44258323,818.3516,791.3553,790.9524,790.14655,888.46155
45218.44258323,819.15753,793.36993,621.7216,802.23444,903.7729
45218.44258324,817.9487,801.8315,886.4469,796.1905,729.304
45218.44258325,824.7985,805.8608,1008.1319,790.14655,726.8865
45218.44258325,825.2015,803.8461,778.86444,790.9524,866.7033
45218.44258326,819.5604,802.23444,676.1172,794.9817,890.4762
45218.44258326,817.1429,802.23444,917.47253,797.3993,790.9524
45218.44258328,812.3077,803.8461,1007.72894,794.9817,745.42126
45218.44258328,817.1429,806.26373,748.6447,798.60803,855.0183
45218.44258331,819.15753,809.0842,750.2564,797.3993,858.24176
45218.44258331,816.7399,808.68134,993.6264,792.96704,745.42126
45218.44258365,823.5897,809.4872,878.3883,788.93774,778.46155
45218.44258365,824.7985,810.293,603.1868,782.0879,878.3883
45218.44258366,819.9634,809.89014,776.4469,783.2967,783.2967
45218.44258367,822.7839,813.5165,996.04395,785.31134,682.5641
45218.44258367,826.4103,816.7399,918.68134,794.57874,720.4396
45218.44258368,825.6044,819.9634,707.1429,802.6374,792.5641
45218.44258368,826.4103,821.5751,665.64105,799.011,877.1795
45218.44258369,826.8132,820.7692,904.17584,794.57874,809.4872
45218.44258369,823.1868,817.5458,894.5055,794.9817,765.56775
45218.44258370,826.8132,816.337,543.1502,806.6667,922.3077
45218.44258370,831.2454,815.9341,761.53845,810.293,806.26373
45218.44258372,834.4689,814.3223,1002.8938,815.5311,693.8461
45218.44258396,838.49817,818.7546,792.96704,830.4396,798.20514
45218.44258396,835.2747,819.15753,629.3773,836.8865,844.1392
45218.44258397,834.87177,810.696,805.05493,830.0366,742.6007
45218.44258397,832.8571,811.50183,894.5055,823.9927,713.9927
45218.44258398,832.0513,813.91943,682.5641,830.84247,846.1539
45218.44258398,834.0659,814.3223,515.7509,840.10986,1093.956
45218.44258398,823.1868,809.0842,709.5604,823.1868,985.56775
45218.44258399,817.9487,811.9048,921.0989,810.696,733.73627
45218.44258399,821.1722,816.7399,658.3883,822.7839,743.8095
45218.44258400,823.5897,813.91943,600.7692,835.6777,790.14655
45218.44258400,819.15753,811.50183,940.84247,834.0659,693.0403
45218.44258400,814.3223,803.0403,940.84247,835.6777,716.8132
45218.44258499,812.71063,800.2198,753.0769,838.0952,766.77655
45218.44258500,813.1135,805.8608,832.8571,839.707,711.1722
45218.44258500,814.7253,812.3077,960.58606,835.2747,653.1502
45218.44258501,813.91943,816.7399,916.26373,833.663,697.0696
45218.44258501,804.2491,811.50183,752.27106,828.8278,778.46155
45218.44258502,806.26373,808.2784,672.49084,830.0366,828.4249
45218.44258503,814.7253,809.4872,662.4176,831.2454,807.47253
45218.44258503,807.8755,809.0842,620.10986,828.022,792.5641
45218.44258505,803.8461,808.68134,446.4469,832.8571,1007.326
45218.44258505,805.4579,808.2784,614.0659,825.2015,977.50916
45218.44258506,809.89014,809.0842,960.18317,819.5604,755.89746
45218.44258506,813.1135,808.2784,894.5055,821.5751,726.08057
45218.44258534,811.9048,808.68134,821.1722,827.2161,741.79486
45218.44258534,804.65204,808.2784,732.9304,836.08057,714.3956
45218.44258539,806.26373,805.8608,804.2491,833.663,660.40295
45218.44258544,815.5311,804.65204,778.0586,838.0952,699.89014
45218.44258547,821.978,808.68134,660.80585,847.3626,794.17584
45218.44258552,823.5897,812.3077,766.3736,847.76556,841.7216
45218.44258556,819.15753,808.68134,736.55676,838.49817,811.9048
45218.44258560,822.7839,803.8461,550.40295,840.10986,822.381
45218.44258563,821.5751,803.0403,546.77655,838.9011,960.989
45218.44258567,819.5604,799.41394,830.0366,822.7839,812.3077
45218.44258571,821.978,799.011,953.3333,821.1722,674.90845
45218.44258575,819.5604,801.4286,726.08057,831.2454,863.8828
45218.44258627,826.0073,805.8608,757.9121,833.663,818.7546
45218.44258633,829.6337,805.05493,996.8498,828.8278,661.2088
45218.44258637,819.15753,801.02563,897.326,827.2161,688.60803
45218.44258640,811.50183,797.8022,765.56775,821.978,693.0403
45218.44258645,811.0989,793.36993,882.8205,821.1722,714.3956
45218.44258648,801.02563,792.1612,799.81683,817.9487,746.63007
45218.44258653,793.36993,797.3993,652.3443,810.696,817.5458
45218.44258655,800.6227,802.23444,520.58606,807.0696,985.56775
45218.44258660,806.26373,802.23444,754.68866,796.1905,842.52747
45218.44258663,802.6374,796.99634,999.2674,781.28204,627.3626
45218.44258668,805.8608,798.20514,822.7839,774.0293,634.61536
45218.44258671,814.7253,804.65204,660.40295,781.28204,646.7033
45218.44258722,815.9341,807.0696,739.3773,784.5055,686.99634
45218.44258725,816.7399,809.0842,765.9707,779.2674,740.58606
45218.44258729,821.1722,808.2784,656.3736,789.7436,804.65204
45218.44258733,818.3516,807.0696,565.31134,805.8608,979.92676
45218.44258737,808.2784,803.8461,866.7033,803.8461,830.0366
45218.44258741,807.47253,803.0403,957.76556,803.0403,796.99634
45218.44258744,812.71063,804.65204,736.55676,805.4579,940.4396
45218.44258749,815.12823,805.05493,781.685,801.02563,872.74725
45218.44258752,818.7546,803.0403,974.2857,802.23444,727.28937
45218.44258757,824.3956,801.02563,998.46155,800.2198,693.0403
45218.44258767,826.8132,804.65204,727.28937,803.0403,888.46155
45218.44258775,825.6044,807.0696,620.10986,807.8755,948.9011
45218.44258784,830.0366,807.47253,950.9158,801.02563,699.0842
45218.44258787,837.28937,806.26373,952.9304,803.44324,686.1905
45218.44258792,832.0513,808.2784,742.6007,803.44324,839.304
45218.44258795,826.8132,811.9048,865.4945,797.3993,717.2161
45218.44258799,831.2454,811.0989,1000.07324,807.47253,615.6777
45218.44258803,829.6337,808.2784,851.39197,808.2784,847.76556
45218.44258807,823.5897,805.4579,610.84247,793.7729,1068.1685
45218.44258810,825.2015,805.8608,790.9524,789.7436,847.76556
45218.44258815,830.4396,810.696,1036.337,790.9524,701.50183
45218.44258817,830.84247,813.5165,915.8608,788.93774,773.6264
45218.44258826,828.022,813.5165,553.22345,795.78754,933.5897
45218.44258829,830.4396,813.5165,751.06226,789.34064,813.91943
45218.44258885,829.6337,812.71063,1034.7252,775.64105,653.95605
45218.44258887,823.5897,810.696,780.87915,778.86444,793.7729
45218.44258891,828.8278,812.71063,686.5934,788.1319,848.97437
45218.44258895,829.6337,813.1135,950.9158,792.96704,745.42126
45218.44258899,818.3516,810.696,1011.3553,788.1319,706.337
45218.44258903,807.47253,807.8755,795.78754,785.7143,885.2381
45218.44258907,804.65204,808.2784,655.9707,787.72894,1073.0037
45218.44258910,811.0989,807.47253,882.01465,784.5055,858.6447
45218.44258916,821.1722,806.6667,1000.4762,789.34064,689.41394
45218.44258922,828.022,811.50183,798.60803,796.5934,873.5531
45218.44258926,830.4396,820.3663,827.619,793.36993,913.0403
45218.44258931,827.2161,818.3516,1018.20514,787.326,755.89746
45218.44258938,817.1429,812.71063,950.9158,793.36993,740.18317
45218.44258941,814.3223,814.3223,844.1392,804.2491,759.92676
45218.44258946,811.50183,814.3223,924.3223,808.68134,739.3773
45218.44258949,807.8755,811.0989,992.01465,809.0842,667.25275
45218.44258954,810.293,813.1135,915.05493,807.0696,723.2601
45218.44258957,818.3516,816.337,705.12823,806.26373,898.5348
45218.44258965,819.15753,814.3223,690.6227,808.2784,866.30035
45218.44258968,812.3077,807.47253,765.9707,808.2784,711.1722
