timestamps,TP9,AF7,AF8,TP10,Right AUX
45211.43667266,702.3077,676.1172,811.9048,676.9231,713.5897
45211.43667266,721.6484,731.7216,806.26373,668.46155,796.1905
45211.43667267,740.58606,685.38464,801.02563,689.81683,844.1392
45211.43667267,749.85345,686.1905,797.3993,708.3516,820.7692
45211.43667267,757.50916,488.75458,801.02563,701.50183,1009.34064
45211.43667267,777.25275,596.7399,794.57874,710.3663,970.2564
45211.43667269,812.3077,963.4066,782.0879,718.4249,650.7326
45211.43667269,820.3663,819.5604,788.93774,714.7985,637.8388
45211.43667269,835.6777,681.75824,798.60803,749.0476,787.326
45211.43667304,852.6007,769.19415,796.99634,766.77655,770
45211.43667304,848.5714,844.1392,789.7436,755.89746,644.2857
45211.43667304,851.39197,608.022,791.75824,774.43225,768.7912
45211.43667306,849.7802,584.65204,794.9817,783.2967,905.38464
45211.43667306,861.06226,825.2015,801.02563,809.4872,769.19415
45211.43667306,857.4359,728.9011,786.1172,808.68134,760.32965
45211.43667307,811.50183,492.38095,775.2381,789.7436,943.663
45211.43667307,794.9817,496.41025,800.6227,789.7436,1114.1025
45211.43667307,797.8022,831.6484,807.47253,783.69965,745.82416
45211.43667307,802.6374,801.8315,779.2674,789.34064,507.69232
45211.43667307,807.8755,696.6667,778.86444,816.7399,581.4286
45211.43667308,791.3553,797.3993,807.8755,814.7253,597.5458
45211.43667381,772.8205,863.8828,783.2967,778.0586,591.50183
45211.43667381,793.7729,803.0403,763.1502,775.2381,643.47986
45211.43667382,773.22345,757.9121,798.20514,780.87915,696.26373
45211.43667382,749.85345,831.6484,823.5897,771.2088,707.5458
45211.43667382,768.7912,821.5751,811.0989,778.0586,664.83514
45211.43667382,765.56775,729.707,784.5055,781.685,747.03296
45211.43667383,754.68866,655.56775,794.17584,800.2198,1052.0513
45211.43667383,750.2564,873.5531,795.78754,787.326,946.4835
45211.43667383,757.9121,1036.337,788.1319,777.6557,701.0989
45211.43667383,776.04395,819.9634,810.293,810.293,866.30035
45211.43667383,814.3223,744.21246,817.1429,815.9341,1025.8608
45211.43667384,817.9487,840.5128,806.26373,828.4249,865.89746
45211.43667420,822.381,847.3626,798.20514,820.3663,719.6337
45211.43667420,865.09155,768.3883,786.1172,832.0513,832.0513
45211.43667420,868.71796,691.4286,796.99634,874.35895,986.77655
45211.43667421,835.6777,965.42126,822.381,854.61536,722.0513
45211.43667421,856.2271,985.9707,818.7546,838.0952,543.95605
45211.43667421,865.09155,712.381,811.9048,838.9011,774.83514
45211.43667421,840.9158,718.8278,804.2491,857.03296,941.6484
45211.43667421,822.381,904.57874,810.293,842.9304,666.4469
45211.43667422,818.7546,900.54944,803.44324,820.7692,484.72528
45211.43667422,822.381,682.96704,792.1612,843.3333,771.6117
45211.43667422,806.6667,741.79486,814.3223,850.58606,829.6337
45211.43667424,804.2491,935.6044,830.0366,847.76556,587.0696
45211.43667458,813.5165,807.47253,828.4249,828.4249,684.17584
45211.43667458,794.9817,774.0293,806.6667,833.663,851.39197
45211.43667459,791.75824,873.1502,821.5751,855.82416,779.67035
45211.43667461,793.7729,887.25275,837.28937,846.1539,637.8388
45211.43667461,794.9817,772.8205,828.4249,851.79486,647.50916
45211.43667461,793.7729,625.7509,821.1722,873.5531,844.94507
45211.43667461,784.5055,746.63007,808.2784,834.0659,933.9927
45211.43667461,790.54944,891.28204,823.5897,809.0842,752.27106
45211.43667461,787.72894,736.9597,841.7216,819.15753,682.1612
45211.43667462,765.56775,610.0366,834.87177,833.2601,920.293
45211.43667462,759.92676,848.1685,809.0842,830.84247,828.022
45211.43667462,759.92676,904.57874,797.3993,811.50183,780.4762
45211.43667537,771.2088,686.99634,820.3663,787.72894,933.1868
45211.43667537,788.93774,695.8608,823.9927,803.44324,902.96704
45211.43667538,807.47253,914.65204,820.3663,814.7253,781.28204
45211.43667538,810.293,849.7802,819.5604,821.1722,764.7619
45211.43667538,800.6227,621.7216,817.5458,812.71063,817.9487
45211.43667538,807.8755,630.18317,813.1135,789.34064,876.3736
45211.43667538,800.6227,866.30035,794.17584,800.2198,850.989
45211.43667539,798.20514,912.23444,800.2198,809.0842,733.3333
45211.43667539,803.0403,639.0476,810.293,787.326,880.80585
45211.43667539,801.8315,620.9158,805.05493,800.6227,1041.5751
45211.43667539,808.2784,979.92676,793.7729,826.8132,816.337
45211.43667539,812.3077,847.3626,790.9524,815.5311,738.5714
45211.43667576,821.5751,715.2015,824.7985,804.2491,744.61536
45211.43667576,790.14655,816.7399,837.6923,797.8022,768.3883
45211.43667576,756.30035,821.978,815.12823,794.57874,725.2747
45211.43667578,770,735.34796,812.3077,811.0989,729.304
45211.43667579,786.52014,685.38464,819.15753,826.8132,782.8938
45211.43667579,806.6667,693.0403,792.96704,816.7399,842.9304
45211.43667580,825.6044,701.0989,791.3553,825.6044,865.4945
45211.43667580,803.44324,718.022,821.5751,815.9341,817.1429
45211.43667580,770.40295,512.9304,828.022,795.38464,1046.4103
45211.43667580,780.4762,663.22345,828.8278,793.7729,1036.337
45211.43667581,792.5641,981.53845,820.7692,806.26373,635.42126
45211.43667581,815.12823,726.08057,810.696,827.619,814.3223
45211.43667612,825.6044,655.56775,810.293,821.1722,961.79486
45211.43667613,816.7399,886.4469,809.0842,819.9634,763.1502
45211.43667613,809.4872,860.2564,813.1135,803.0403,759.92676
45211.43667615,781.685,673.69965,814.3223,789.7436,795.38464
45211.43667615,798.20514,674.90845,813.1135,759.5238,778.46155
45211.43667615,814.3223,717.619,802.23444,776.8498,782.8938
45211.43667615,818.7546,752.674,799.81683,820.7692,902.96704
45211.43667616,821.978,602.7839,809.4872,822.7839,1033.1135
45211.43667616,803.8461,540.7326,812.3077,804.2491,1129.011
45211.43667616,819.15753,901.3553,811.9048,776.4469,888.86444
45211.43667617,847.76556,904.9817,801.4286,815.9341,665.64105
45211.43667617,847.3626,697.8755,801.4286,838.9011,801.4286
45211.43667691,844.1392,756.30035,812.71063,824.3956,845.7509
45211.43667692,844.5421,829.6337,814.3223,819.15753,665.2381
45211.43667692,847.3626,746.2271,808.68134,813.5165,635.82416
45211.43667692,836.8865,763.5531,806.26373,809.4872,803.8461
45211.43667693,848.97437,794.57874,810.696,831.2454,796.1905
45211.43667696,853.4066,705.9341,801.4286,833.2601,831.6484
45211.43667697,852.1978,682.1612,805.05493,792.1612,960.18317
45211.43667697,857.8388,554.43225,820.7692,830.4396,1096.7766
45211.43667698,857.4359,704.3223,813.1135,832.4542,938.8278
45211.43667698,869.12085,893.2967,809.89014,805.05493,651.53845
45211.43667698,847.3626,728.49817,807.0696,813.1135,687.3993
45211.43667699,821.5751,695.4579,797.8022,804.2491,894.10254
45211.43667730,830.0366,772.8205,791.75824,801.02563,1021.8315
45211.43667730,862.27106,820.3663,804.65204,820.3663,854.21246
45211.43667730,867.1062,672.8938,807.47253,842.52747,895.7143
45211.43667731,838.49817,552.4176,807.0696,833.2601,1035.1282
45211.43667731,843.3333,854.61536,815.9341,811.50183,869.5238
